id,station,date,reserve,min,max,planned,plan_percent,completance,coal_type,delivery,spending,station_id,latitude,longitude,owner,spending_a_jan2016,spending_p_jan2016,spending_g_jan2016
n,Придніпровська ТЕС,2017-05-25,67,80.0,410.0,81,83,-14,антрацит,0.0,0.0,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-02-23,110,80.0,410.0,80,138,30,антрацит,0.0,1.518,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-08-07,97,80.0,410.0,177,55,-80,антрацит,0.0,2.284,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-03-10,78,80.0,410.0,91,86,-13,антрацит,0.0,2.801,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-10-24,24,100.0,205.0,247,10,-223,антрацит,0.0,2.584,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-10-24,11,40.0,205.0,44,25,-33,газове,0.183,0.0,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-05-15,65,80.0,410.0,49,133,16,антрацит,0.0,0.0,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-08-16,86,80.0,410.0,176,49,-90,антрацит,0.0,0.675,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-07-26,109,80.0,410.0,163,67,-54,антрацит,1.068,1.269,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-09-18,37,80.0,410.0,219,17,-182,антрацит,1.916,2.398,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-03-14,68,80.0,410.0,81,84,-13,антрацит,0.0,2.81,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-10-11,32,80.0,410.0,268,12,-236,антрацит,0.0,2.378,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-06-12,97,80.0,410.0,81,120,16,антрацит,0.0,0.0,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-04-27,31,80.0,410.0,21,148,10,антрацит,0.0,0.0,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-09-22,37,80.0,410.0,229,16,-192,антрацит,3.647,1.238,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-08-23,62,80.0,410.0,176,35,-114,антрацит,0.0,1.232,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-04-28,31,80.0,410.0,20,155,11,антрацит,0.0,0.0,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
n,Придніпровська ТЕС,2017-05-26,65,80.0,410.0,85,76,-20,антрацит,0.0,2.067,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
