station,reserve,id,planned,plan_percent
Придніпровська ТЕС,44.3/+212.3,n,256.6535181079337,17
Слов’янська ТЕС,230.3/-52.0,o,178.3106552096774,129
Трипільська ТЕС,78.1/+32.7,r,110.82124005403234,70
Зміївська ТЕС,26.4/+22.8,v,49.15201029759885,54
Луганська ТЕС,62.3/+121.0,m,183.342783233294,34
Криворізька ТЕС,90.3/+187.1,j,277.3507098922347,33
Запорізька ТЕС,96.0/+151.3,e,247.3123597076855,39
Бурштинська ТЕС,104.1/+341.4,a,445.54112918804975,23
Добротвірська ТЕС,50.2/+109.0,z,159.14284562997773,32
Ладижинська ТЕС,105.4/+151.1,l,256.5731709788061,41
Вуглегірська ТЕС,133.2/+40.0,b,173.26778707937402,77
,79.4/+5.3,y,84.69425288183913,54
Курахівська ТЕС,167.2/+155.5,k,322.71316335547175,52
Чернігівська ТЕЦ,88.7/+18.8,t,107.57522580645158,82
Дарницька ТЕЦ,87.3/+41.3,c,128.61777419354837,68
Миронівська ТЕС,6.7/+3.0,x,9.721677419354844,69
Краматорська ТЕЦ,0.0/+78.8,i,78.79509677419354,0
ТЕЦ-2 (Есхар),18.8/-4.4,q,14.42503225806451,130
Черкаська ТЕЦ,33.3/+61.6,s,94.85912903225805,35
,20.8/-6.8,f,13.959709677419356,69
Калуська ТЕЦ,25.5/+46.2,g,71.6258064516129,36
