date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,502.855,100.0,610.0,493.81622076822805,102,газове,42
2017-07-28,462.338,100.0,610.0,449.53958880409454,103,газове,35
2017-04-05,286.728,100.0,610.0,139.58670557397699,205,газове,21
2017-06-07,501.665,100.0,610.0,496.7470913275189,101,газове,43
2017-07-19,505.243,100.0,610.0,453.60559503669475,111,газове,49
2017-08-04,425.456,100.0,610.0,445.6570901112823,95,газове,40
2017-04-04,282.226,100.0,610.0,138.94006209707,203,газове,22
2017-05-19,448.141,100.0,610.0,372.6150995848604,120,газове,46
2017-04-19,300.297,100.0,610.0,148.63971425067436,202,газове,22
2017-06-16,514.042,100.0,610.0,483.5581738107101,106,газове,34
2017-06-02,481.691,100.0,610.0,504.074267725746,96,газове,46
2017-03-16,228.607,100.0,610.0,143.10870319283202,160,газове,20
2017-05-05,386.792,100.0,610.0,154.18839147811005,251,газове,40
2017-09-14,179.256,100.0,610.0,436.18849278385943,41,газове,11
2017-07-20,507.424,100.0,610.0,453.1538165664058,112,газове,48
2017-02-22,131.305,100.0,610.0,112.94306440415231,116,газове,9
2017-05-24,460.56,100.0,610.0,369.8512939655506,125,газове,47
2017-08-03,432.633,100.0,610.0,446.34888504850113,97,газове,38
2017-06-13,507.695,100.0,610.0,487.9544796496464,104,газове,41
2017-09-22,117.781,100.0,610.0,442.28182257752417,27,газове,8
2017-03-14,224.003,100.0,610.0,143.70956473561924,156,газове,21
2017-07-14,508.053,100.0,610.0,455.86448738813925,111,газове,99
2017-04-20,303.339,100.0,610.0,149.28635772758133,203,газове,22
2017-08-31,321.761,100.0,610.0,426.9786268063731,75,газове,29
2017-06-21,502.815,100.0,610.0,476.230997412483,106,газове,35
2017-08-30,325.832,100.0,610.0,427.670421743592,76,газове,30
2017-07-11,499.417,100.0,610.0,457.219822799006,109,газове,46
2017-09-11,215.73,100.0,610.0,433.90349411123515,50,газове,18
2017-09-06,266.619,100.0,610.0,430.0951629901947,62,газове,18
2017-05-26,473.221,100.0,610.0,368.74577171782676,128,газове,47
2017-07-26,477.833,100.0,610.0,450.44314574467234,106,газове,38
2017-09-15,167.55,100.0,610.0,436.95015900806754,38,газове,11
2017-04-14,298.095,100.0,610.0,145.40649686613958,205,газове,20
2017-08-21,357.248,100.0,610.0,433.8965761785617,82,газове,35
2017-04-11,293.038,100.0,610.0,143.4665664354187,204,газове,21
2017-05-12,421.348,100.0,610.0,376.4844274518941,112,газове,46
2017-04-10,291.833,100.0,610.0,142.81992295851177,204,газове,22
2017-08-02,440.338,100.0,610.0,447.04067998572003,99,газове,44
2017-05-18,445.654,100.0,610.0,373.16786070872234,119,газове,45
2017-02-28,145.545,100.0,610.0,116.62024259253366,125,газове,10
2017-08-19,367.57,100.0,610.0,435.2801660529994,84,газове,31
2017-07-21,508.842,100.0,610.0,452.7020380961169,112,газове,47
2017-09-21,121.232,100.0,610.0,441.5201563533161,27,газове,9
2017-03-20,243.821,100.0,610.0,141.90698010725765,172,газове,23
2017-09-08,248.806,100.0,610.0,431.61849543861086,58,газове,19
2017-08-08,407.93,100.0,610.0,442.88991036240685,92,газове,38
2017-07-31,443.378,100.0,610.0,448.1842533932278,99,газове,58
2017-09-26,108.558,100.0,610.0,445.32848747435656,24,газове,7
2017-08-11,397.975,100.0,610.0,440.81452555075026,90,газове,38
2017-05-15,433.733,100.0,610.0,374.8261440803082,116,газове,44
2017-05-22,457.358,100.0,610.0,370.9568162132745,123,газове,47
2017-02-20,129.833,100.0,610.0,111.71733834135853,116,газове,10
2017-03-06,175.691,100.0,610.0,146.11301090676798,120,газове,17
2017-06-12,505.783,100.0,610.0,489.4199149292918,103,газове,46
2017-06-19,509.431,100.0,610.0,479.16186797177386,106,газове,36
2017-06-27,488.473,100.0,610.0,467.4383857346105,104,газове,42
2017-04-25,313.418,100.0,610.0,152.51957511211612,205,газове,29
2017-03-30,273.104,100.0,610.0,137.60099320913633,198,газове,19
2017-04-06,285.339,100.0,610.0,140.23334905088393,203,газове,23
2017-06-22,498.769,100.0,610.0,474.7655621328376,105,газове,34
2017-07-10,499.068,100.0,610.0,457.6716012692949,109,газове,232
2017-06-15,510.985,100.0,610.0,485.02360909035554,105,газове,37
2017-02-27,141.046,100.0,610.0,116.00737956113677,122,газове,12
2017-03-03,162.172,100.0,610.0,147.01430322094876,110,газове,14
2017-08-14,394.797,100.0,610.0,438.7391407390937,90,газове,45
2017-09-19,132.955,100.0,610.0,439.9968239048999,30,газове,10
2017-05-11,417.15,100.0,610.0,377.03718857575603,111,газове,44
2017-05-17,442.007,100.0,610.0,373.7206218325843,118,газове,43
2017-04-21,310.415,100.0,610.0,149.93300120448828,207,газове,27
2017-03-24,251.377,100.0,610.0,139.4035778374979,180,газове,31
2017-06-23,499.581,100.0,610.0,473.3001268531922,106,газове,39
2017-10-02,108.544,100.0,610.0,447.9382554596146,24,газове,9
2017-05-30,477.784,100.0,610.0,366.53472722237893,130,газове,50
2017-05-04,373.814,100.0,610.0,154.74115260197198,242,газове,43
2017-08-16,388.553,100.0,610.0,437.355550864656,89,газове,40
2017-09-01,314.711,100.0,610.0,426.28683186915424,74,газове,28
2017-03-23,248.634,100.0,610.0,139.70400860889148,178,газове,26
2017-06-14,510.51,100.0,610.0,486.48904437000095,105,газове,45
2017-04-12,290.162,100.0,610.0,144.11320991232566,201,газове,21
2017-05-03,363.903,100.0,610.0,155.29391372583393,234,газове,41
2017-04-27,323.709,100.0,610.0,153.81286206593,210,газове,35
2017-05-10,405.56,100.0,610.0,377.589949699618,107,газове,41
2017-05-23,455.659,100.0,610.0,370.40405508941257,123,газове,51
2017-03-17,235.26,100.0,610.0,142.80827242143843,165,газове,20
2017-07-05,475.9749999999999,100.0,610.0,459.93049362073947,103,газове,117
2017-04-24,316.866,100.0,610.0,151.87293163520914,209,газове,27
2017-02-24,142.712,100.0,610.0,114.16879046694609,125,газове,13
2017-02-23,132.628,100.0,610.0,113.5559274355492,117,газове,10
2017-09-20,119.863,100.0,610.0,440.758490129108,27,газове,9
2017-05-13,423.707,100.0,610.0,375.9316663280321,113,газове,44
2017-07-27,468.65,100.0,610.0,449.99136727438344,104,газове,37
2017-06-26,490.004,100.0,610.0,468.9038210142559,104,газове,40
2017-05-16,434.769,100.0,610.0,374.27338295644626,116,газове,44
2017-08-10,401.768,100.0,610.0,441.50632048796916,91,газове,36
2017-03-09,194.088,100.0,610.0,145.2117185925872,134,газове,24
2017-04-13,294.773,100.0,610.0,144.75985338923263,204,газове,22
2017-07-18,507.413,100.0,610.0,454.05737350698365,112,газове,42
2017-09-29,111.079,100.0,610.0,447.61348614698085,25,газове,8
2017-09-27,108.281,100.0,610.0,446.0901536985646,24,газове,8
2017-07-13,502.70899999999995,100.0,610.0,456.3162658584282,110,газове,110
2017-08-18,375.958,100.0,610.0,435.9719609902183,86,газове,32
2017-05-25,467.954,100.0,610.0,369.2985328416887,127,газове,51
2017-04-26,318.324,100.0,610.0,153.16621858902306,208,газове,32
2017-08-17,384.058,100.0,610.0,436.66375592743714,88,газове,38
2017-08-22,351.171,100.0,610.0,433.20478124134286,81,газове,32
2017-08-29,327.094,100.0,610.0,428.36221668081083,76,газове,31
2017-08-09,405.371,100.0,610.0,442.198115425188,92,газове,45
2017-03-01,151.215,100.0,610.0,117.23310562393056,129,газове,12
2017-09-12,205.833,100.0,610.0,434.66516033544326,47,газове,14
2017-03-07,181.28,100.0,610.0,145.8125801353744,124,газове,21
2017-07-12,499.70899999999995,100.0,610.0,456.7680443287171,109,газове,117
2017-08-28,333.861,100.0,610.0,429.0540116180297,78,газове,34
2017-08-15,389.405,100.0,610.0,438.0473458018748,89,газове,35
2017-03-29,275.308,100.0,610.0,137.90142398052993,200,газове,28
2017-08-01,441.967,100.0,610.0,447.7324749229389,99,газове,50
2017-09-13,191.6,100.0,610.0,435.4268265596514,44,газове,13
2017-07-17,511.989,100.0,610.0,454.50915197727255,113,газове,41
2017-03-28,271.698,100.0,610.0,138.20185475192352,197,газове,26
2017-04-07,282.883,100.0,610.0,140.87999252779088,201,газове,21
2017-06-01,481.504,100.0,610.0,365.429204974655,132,газове,46
2017-03-22,248.499,100.0,610.0,141.30611856447047,176,газове,26
2017-03-21,243.443,100.0,610.0,141.60654933586406,172,газове,22
2017-03-02,151.854,100.0,610.0,117.28082234998129,129,газове,11
2017-03-27,268.528,100.0,610.0,138.5022855233171,194,газове,28
2017-07-25,482.691,100.0,610.0,450.89492421496124,107,газове,47
2017-04-18,298.964,100.0,610.0,147.9930707737674,202,газове,24
2017-07-07,479.769,100.0,610.0,459.026936680162,105,газове,109
2017-04-03,284.786,100.0,610.0,138.29341862016307,206,газове,27
2017-06-20,506.351,100.0,610.0,477.69643269212844,106,газове,36
2017-03-15,223.472,100.0,610.0,143.40913396422565,156,газове,24
2017-05-31,484.536,100.0,610.0,365.981966098517,132,газове,48
