date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,170.056,100.0,325.0,199.86999289874586,85,газове вугілля,30
2017-07-28,137.012,100.0,325.0,143.99022525870504,95,газове вугілля,32
2017-04-05,241.457,100.0,325.0,181.265638823479,133,газове вугілля,76
2017-06-07,170.871,100.0,325.0,194.77124418079714,88,газове вугілля,34
2017-07-19,109.641,100.0,325.0,147.05491938215098,75,газове вугілля,19
2017-08-04,140.677,100.0,325.0,142.69267109392928,99,газове вугілля,19
2017-04-04,243.111,100.0,325.0,181.42157009800906,134,газове вугілля,50
2017-05-19,191.743,100.0,325.0,253.80823915917958,76,газове вугілля,75
2017-04-19,227.947,100.0,325.0,179.08260098005823,127,газове вугілля,49
2017-06-16,157.903,100.0,325.0,217.71561341156638,73,газове вугілля,29
2017-06-02,172.951,100.0,325.0,182.02437238592535,95,газове вугілля,40
2017-03-16,237.358,100.0,325.0,189.50416551979527,125,газове вугілля,75
2017-05-05,211.5,100.0,325.0,180.1952153672526,117,газове вугілля,79
2017-07-20,110.855,100.0,325.0,146.7143978128792,76,газове вугілля,20
2017-02-22,209.018,100.0,325.0,205.0724501286523,102,газове вугілля,46
2017-05-24,182.3,100.0,325.0,257.53797626112333,71,газове вугілля,39
2017-08-03,142.453,100.0,325.0,144.60664426079325,99,газове вугілля,22
2017-06-13,163.71,100.0,325.0,210.0674903346433,78,газове вугілля,37
2017-03-14,238.097,100.0,325.0,190.94242177544797,125,газове вугілля,78
2017-07-14,111.983,100.0,325.0,148.75752722850987,75,газове вугілля,21
2017-04-20,225.485,100.0,325.0,178.92666970552818,126,газове вугілля,29
2017-08-31,118.564,100.0,325.0,143.27346010473124,83,газове вугілля,16
2017-06-21,154.739,100.0,325.0,161.92915187310487,96,газове вугілля,69
2017-08-30,119.888,100.0,325.0,143.25194940062747,84,газове вугілля,19
2017-07-11,118.825,100.0,325.0,149.7790919363252,79,газове вугілля,24
2017-09-11,98.452,100.0,325.0,153.29530920297356,64,газове вугілля,14
2017-09-06,101.662,100.0,325.0,148.2951400059043,69,газове вугілля,13
2017-05-26,187.411,100.0,325.0,259.0298711019008,72,газове вугілля,89
2017-07-26,130.778,100.0,325.0,144.67126839724858,90,газове вугілля,18
2017-04-14,231.457,100.0,325.0,179.86225735270853,129,газове вугілля,36
2017-08-21,99.918,100.0,325.0,143.0583530636935,70,газове вугілля,14
2017-04-11,234.133,100.0,325.0,180.33005117629867,130,газове вугілля,73
2017-05-12,203.346,100.0,325.0,248.58660721645833,82,газове вугілля,77
2017-04-10,234.616,100.0,325.0,180.48598245082874,130,газове вугілля,92
2017-08-02,143.56,100.0,325.0,143.6173916212056,100,газове вугілля,23
2017-05-18,189.272,100.0,325.0,253.06229173879083,75,газове вугілля,60
2017-02-28,216.595,100.0,325.0,200.8110318723025,108,газове вугілля,69
2017-08-19,100.724,100.0,325.0,143.01533165548594,70,газове вугілля,16
2017-07-21,112.879,100.0,325.0,146.37387624360744,77,газове вугілля,21
2017-03-20,241.79,100.0,325.0,186.6276530084899,130,газове вугілля,85
2017-09-08,99.092,100.0,325.0,150.295207684732,66,газове вугілля,14
2017-08-08,119.068,100.0,325.0,142.77871391034438,83,газове вугілля,12
2017-07-31,145.109,100.0,325.0,142.96866055088972,101,газове вугілля,36
2017-08-11,105.097,100.0,325.0,142.8432460226557,74,газове вугілля,12
2017-05-15,196.023,100.0,325.0,250.82444947762457,78,газове вугілля,60
2017-05-22,186.732,100.0,325.0,256.04608142034584,73,газове вугілля,34
2017-02-20,212.452,100.0,325.0,206.4929228807689,103,газове вугілля,67
2017-03-06,225.181,100.0,325.0,196.69544679805875,114,газове вугілля,70
2017-06-12,166.604,100.0,325.0,207.51811597566893,80,газове вугілля,69
2017-06-19,152.422,100.0,325.0,225.36373648848948,68,газове вугілля,32
2017-06-27,148.857,100.0,325.0,156.66539802695104,95,газове вугілля,27
2017-04-25,211.039,100.0,325.0,178.14701333287792,118,газове вугілля,32
2017-03-30,250.681,100.0,325.0,183.32762017725193,137,газове вугілля,110
2017-04-06,240.826,100.0,325.0,181.10970754894896,133,газове вугілля,73
2017-06-22,158.261,100.0,325.0,161.05185956541254,98,газове вугілля,60
2017-07-10,119.375,100.0,325.0,150.11961350559696,80,газове вугілля,24
2017-06-15,158.154,100.0,325.0,215.16623905259203,74,газове вугілля,32
2017-02-27,213.228,100.0,325.0,201.5212682483608,106,газове вугілля,73
2017-03-03,221.022,100.0,325.0,198.8528311815378,111,газове вугілля,74
2017-08-14,96.567,100.0,325.0,142.90777813496703,68,газове вугілля,12
2017-05-11,204.387,100.0,325.0,247.84065979606956,82,газове вугілля,44
2017-05-17,190.916,100.0,325.0,252.3163443184021,76,газове вугілля,41
2017-04-21,220.187,100.0,325.0,178.77073843099814,123,газове вугілля,28
2017-03-24,247.423,100.0,325.0,187.64238894421,132,газове вугілля,87
2017-06-23,156.082,100.0,325.0,160.17456725772024,97,газове вугілля,52
2017-05-30,179.628,100.0,325.0,262.01366078345586,69,газове вугілля,36
2017-05-04,214.193,100.0,325.0,179.44926794686384,119,газове вугілля,91
2017-08-16,100.422,100.0,325.0,142.95079954317458,70,газове вугілля,15
2017-09-01,113.69,100.0,325.0,143.29497080883502,79,газове вугілля,17
2017-03-23,247.541,100.0,325.0,188.36151707203635,131,газове вугілля,93
2017-06-14,162.117,100.0,325.0,212.61686469361769,76,газове вугілля,38
2017-04-12,235.294,100.0,325.0,180.17411990176862,131,газове вугілля,80
2017-05-03,213.323,100.0,325.0,178.70332052647507,119,газове вугілля,94
2017-04-27,209.43,100.0,325.0,177.8351507838178,118,газове вугілля,57
2017-05-10,208.14,100.0,325.0,247.0947123756808,84,газове вугілля,69
2017-05-23,183.07,100.0,325.0,256.7920288407346,71,газове вугілля,40
2017-03-17,239.402,100.0,325.0,188.78503739196893,127,газове вугілля,74
2017-07-05,131.258,100.0,325.0,151.82222135195582,86,газове вугілля,31
2017-04-24,214.835,100.0,325.0,178.30294460740797,120,газове вугілля,42
2017-02-24,210.901,100.0,325.0,203.65197737653568,104,газове вугілля,75
2017-02-23,208.452,100.0,325.0,204.362213752594,102,газове вугілля,75
2017-05-13,200.183,100.0,325.0,249.33255463684708,80,газове вугілля,63
2017-07-27,133.456,100.0,325.0,144.3307468279768,92,газове вугілля,18
2017-06-26,151.91,100.0,325.0,157.54269033464334,96,газове вугілля,29
2017-05-16,193.921,100.0,325.0,251.5703968980133,77,газове вугілля,44
2017-08-10,109.339,100.0,325.0,142.82173531855193,77,газове вугілля,12
2017-03-09,234.227,100.0,325.0,194.5380624145797,120,газове вугілля,81
2017-04-13,233.563,100.0,325.0,180.01818862723857,130,газове вугілля,49
2017-07-18,108.484,100.0,325.0,147.39544095142276,74,газове вугілля,22
2017-07-13,114.993,100.0,325.0,149.09804879778164,77,газове вугілля,16
