date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,26.046,,,0.0,,антрацит,26
2017-07-28,60.064,,,74.00245161290323,81,антрацит,290
2017-04-05,12.659,,,10.886666666666661,116,антрацит,23
2017-06-07,24.405,,,0.0,,антрацит,24
2017-07-19,46.384,,,66.05196774193548,70,антрацит,0
2017-08-04,65.519,,,80.18616129032259,82,антрацит,76
2017-04-04,13.208,,,10.94,121,антрацит,27
2017-05-19,19.765,,,29.89677419354839,66,антрацит,20
2017-04-19,12.23,,,10.14,121,антрацит,13
2017-06-16,19.866,,,0.0,,антрацит,21
2017-06-02,27.343,,,0.0,,антрацит,29
2017-03-16,14.225,,,15.532258064516128,92,антрацит,13
2017-05-05,6.318,,,20.954838709677418,30,антрацит,12
2017-09-14,69.869,,,114.88766666666666,61,антрацит,67
2017-07-20,49.351,,,66.93535483870969,74,антрацит,0
2017-02-22,24.106,,,45.875,53,антрацит,24
2017-05-24,30.98,,,33.090322580645164,94,антрацит,30
2017-08-03,64.883,,,79.30277419354839,82,антрацит,73
2017-06-13,22.384,,,0.0,,антрацит,23
2017-09-22,75.045,,,121.021,62,антрацит,83
2017-03-14,16.437,,,16.061290322580646,102,антрацит,16
2017-07-14,38.043,,,61.63503225806451,62,антрацит,0
2017-04-20,11.689,,,10.08666666666666,116,антрацит,12
2017-08-31,81.421,,,104.0376129032258,78,антрацит,86
2017-06-21,16.712,,,0.0,,антрацит,25
2017-08-30,82.371,,,103.15422580645162,80,антрацит,89
2017-07-11,34.395,,,58.984870967741934,58,антрацит,115
2017-09-11,71.186,,,112.58766666666666,63,антрацит,75
2017-09-06,75.467,,,108.75433333333334,69,антрацит,77
2017-05-26,32.208,,,34.36774193548388,94,антрацит,34
2017-07-26,60.0,,,72.23567741935484,83,антрацит,0
2017-09-15,70.605,,,115.65433333333334,61,антрацит,67
2017-04-14,17.043,,,10.406666666666661,164,антрацит,16
2017-08-21,79.253,,,95.20374193548388,83,антрацит,93
2017-04-11,20.106,,,10.566666666666661,190,антрацит,19
2017-05-12,5.084,,,25.425806451612903,20,антрацит,6
2017-04-10,21.153,,,10.62,199,антрацит,30
2017-08-02,64.105,,,78.4193870967742,82,антрацит,242
2017-05-18,19.386,,,29.258064516129032,66,антрацит,20
2017-02-28,20.116,,,47.61071428571428,42,антрацит,18
2017-08-19,77.334,,,93.43696774193549,83,антрацит,91
2017-07-21,54.454,,,67.81874193548387,80,антрацит,0
2017-09-21,75.252,,,120.25433333333334,63,антрацит,84
2017-03-20,14.134,,,14.474193548387095,98,антрацит,20
2017-09-08,74.043,,,110.28766666666667,67,антрацит,74
2017-08-08,71.056,,,83.71970967741936,85,антрацит,86
2017-07-31,61.237,,,76.65261290322582,80,антрацит,124
2017-09-26,74.704,,,124.08766666666666,60,антрацит,81
2017-08-11,77.232,,,86.36987096774195,89,антрацит,101
2017-05-15,11.715,,,27.34193548387097,43,антрацит,13
2017-05-22,26.811,,,31.812903225806455,84,антрацит,28
2017-02-20,26.311,,,45.29642857142857,58,антрацит,22
2017-03-06,16.704,,,18.177419354838708,92,антрацит,15
2017-06-12,23.347,,,0.0,,антрацит,25
2017-06-19,17.295,,,0.0,,антрацит,20
2017-06-27,17.791,,,43.4642,41,антрацит,31
2017-04-25,13.223,,,9.819999999999993,135,антрацит,15
2017-03-30,18.027,,,11.641935483870967,155,антрацит,17
2017-04-06,14.171,,,10.833333333333327,131,антрацит,26
2017-06-22,17.492,,,35.1057,50,антрацит,20
2017-07-10,32.698,,,58.10148387096774,56,антрацит,41
2017-06-15,20.795,,,0.0,,антрацит,24
2017-02-27,21.253,,,47.32142857142857,45,антрацит,19
2017-03-03,17.247,,,18.970967741935485,91,антрацит,17
2017-08-14,78.189,,,89.02003225806452,88,антрацит,97
2017-09-19,73.77,,,118.721,62,антрацит,73
2017-05-11,1.668,,,24.78709677419355,7,антрацит,2
2017-05-17,17.711,,,28.61935483870968,62,антрацит,21
2017-04-21,13.08,,,10.033333333333326,130,антрацит,13
2017-03-24,18.84,,,13.26774193548387,142,антрацит,35
2017-06-23,19.104,,,36.7774,52,антрацит,26
2017-10-02,84.514,,,128.1532580645161,66,антрацит,87
2017-05-30,28.8,,,36.92258064516129,78,антрацит,40
2017-05-04,6.603,,,20.316129032258065,33,антрацит,5
2017-08-16,78.145,,,90.7868064516129,86,антрацит,91
2017-09-01,80.47,,,104.921,77,антрацит,85
2017-03-23,13.526,,,13.538709677419355,100,антрацит,32
2017-06-14,21.595,,,0.0,,антрацит,25
2017-04-12,19.149,,,10.513333333333327,182,антрацит,20
2017-05-03,7.854,,,19.677419354838708,40,антрацит,9
2017-04-27,11.558,,,9.713333333333326,119,антрацит,12
2017-05-10,1.005,,,24.148387096774194,4,антрацит,1
2017-05-23,28.304,,,32.45161290322581,87,антрацит,36
2017-03-17,13.064,,,15.267741935483869,86,антрацит,11
2017-07-05,32.0,,,53.68454838709677,60,антрацит,55
2017-04-24,13.86,,,9.873333333333326,140,антрацит,15
2017-02-24,22.108,,,46.45357142857143,48,антрацит,21
2017-02-23,23.172,,,46.16428571428571,50,антрацит,25
2017-09-20,76.145,,,119.48766666666667,64,антрацит,85
2017-05-13,7.057,,,26.06451612903226,27,антрацит,9
2017-07-27,60.271,,,73.11906451612903,82,антрацит,301
2017-06-26,17.751,,,41.7925,42,антрацит,20
2017-05-16,13.468,,,27.980645161290326,48,антрацит,22
2017-08-10,74.2,,,85.48648387096775,87,антрацит,88
2017-03-09,17.236,,,17.383870967741935,99,антрацит,17
2017-04-13,18.134,,,10.46,173,антрацит,18
2017-07-18,44.456,,,65.16858064516128,68,антрацит,0
2017-09-29,80.558,,,126.38766666666666,64,антрацит,89
2017-09-27,74.846,,,124.85433333333333,60,антрацит,84
2017-07-13,38.043,,,60.75164516129032,63,антрацит,0
2017-08-18,78.184,,,92.55358064516129,84,антрацит,95
2017-05-25,33.161,,,33.72903225806452,98,антрацит,39
2017-04-26,12.391,,,9.76666666666666,127,антрацит,13
2017-08-17,78.867,,,91.6701935483871,86,антрацит,91
2017-08-22,78.615,,,96.08712903225808,82,антрацит,100
2017-08-29,82.811,,,102.27083870967742,81,антрацит,94
2017-08-09,73.47,,,84.60309677419355,87,антрацит,96
2017-03-01,19.256,,,47.9,40,антрацит,22
2017-09-12,70.759,,,113.35433333333333,62,антрацит,71
2017-03-07,15.85,,,17.912903225806453,88,антрацит,16
2017-07-12,34.395,,,59.86825806451613,57,антрацит,115
2017-08-28,82.106,,,101.38745161290323,81,антрацит,96
2017-08-15,77.969,,,89.90341935483872,87,антрацит,86
2017-03-29,19.098,,,11.912903225806451,160,антрацит,19
2017-08-01,61.13,,,77.536,79,антрацит,287
2017-09-13,70.759,,,114.121,62,антрацит,71
2017-07-17,42.383,,,64.2851935483871,66,антрацит,0
2017-03-28,20.127,,,12.183870967741935,165,антрацит,36
2017-04-07,16.033,,,10.78,149,антрацит,41
2017-06-01,28.286,,,38.2,74,антрацит,57
2017-03-22,13.953,,,13.945161290322579,100,антрацит,26
2017-03-21,13.596,,,14.209677419354836,96,антрацит,25
2017-03-02,18.249,,,47.9,38,антрацит,18
2017-03-27,20.682,,,12.454838709677418,166,антрацит,36
2017-07-25,57.847,,,71.35229032258064,81,антрацит,0
2017-04-18,13.161,,,10.193333333333326,129,антрацит,13
2017-07-07,32.698,,,55.4513225806452,59,антрацит,41
2017-04-03,13.696,,,18.94,72,антрацит,16
2017-06-20,16.408,,,0.0,,антрацит,18
2017-03-15,15.329,,,15.796774193548387,97,антрацит,14
2017-05-31,28.383,,,37.561290322580646,76,антрацит,29
2017-09-25,75.211,,,123.321,61,антрацит,70
2017-07-24,57.847,,,70.46890322580646,82,антрацит,0
2017-09-05,76.513,,,107.98766666666667,71,антрацит,72
2017-03-13,17.457,,,16.325806451612902,107,антрацит,15
2017-03-31,16.927,,,11.370967741935484,149,антрацит,15
2017-06-06,24.843,,,0.0,,антрацит,27
2017-06-08,24.358,,,0.0,,антрацит,26
2017-08-23,82.769,,,96.97051612903226,85,антрацит,98
2017-09-18,71.53,,,117.95433333333332,61,антрацит,67
2017-08-07,70.915,,,82.83632258064516,86,антрацит,80
2017-05-29,29.519,,,36.28387096774194,81,антрацит,34
2017-09-04,77.572,,,107.221,72,антрацит,82
2017-03-10,19.083,,,17.119354838709675,111,антрацит,19
2017-04-28,12.368,,,9.659999999999993,128,антрацит,17
2017-09-28,76.842,,,125.621,61,антрацит,84
2017-09-07,74.755,,,109.521,68,антрацит,76
