date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,299.879,100.0,310.0,311.4383754255441,96,газове,35
2017-07-28,183.623,100.0,310.0,266.4893491113555,69,газове,16
2017-04-05,208.855,100.0,310.0,233.99951522865877,89,газове,39
2017-06-07,304.435,100.0,310.0,311.2633736223499,98,газове,36
2017-07-19,211.501,100.0,310.0,282.0796128842405,75,газове,19
2017-08-04,188.32,100.0,310.0,258.49921832802096,73,газове,16
2017-04-04,207.287,100.0,310.0,232.3437501625139,89,газове,40
2017-05-19,294.538,100.0,310.0,216.73209912434413,136,газове,64
2017-04-19,250.398,100.0,310.0,257.18022615468675,97,газове,33
2017-06-16,289.982,100.0,310.0,312.0508817367239,93,газове,31
2017-06-02,302.586,100.0,310.0,310.8258691143643,97,газове,84
2017-03-16,144.577,100.0,310.0,170.48605436178832,85,газове,24
2017-05-05,283.857,100.0,310.0,283.6028839540122,100,газове,63
2017-07-20,211.755,100.0,310.0,280.34736135391995,76,газове,21
2017-02-22,120.415,100.0,310.0,105.2449352249048,114,газове,27
2017-05-24,304.305,100.0,310.0,224.9239453813281,135,газове,52
2017-08-03,190.303,100.0,310.0,258.85292654870506,74,газове,16
2017-06-13,295.613,100.0,310.0,311.78837903193255,95,газове,39
2017-03-14,142.576,100.0,310.0,164.19991087446883,87,газове,24
2017-07-14,233.62699999999995,100.0,310.0,290.7408705358432,80,газове,19
2017-04-20,248.841,100.0,310.0,258.8359912208316,96,газове,29
2017-08-31,187.532,100.0,310.0,248.94909636954912,75,газове,16
2017-06-21,278.241,100.0,310.0,312.4883862447095,89,газове,28
2017-08-30,191.923,100.0,310.0,249.30280459023325,77,газове,19
2017-07-11,244.51799999999997,100.0,310.0,295.93762512680485,83,газове,26
2017-09-11,187.291,100.0,310.0,248.47744278637785,75,газове,21
2017-09-06,194.557,100.0,310.0,248.5364154676214,78,газове,19
2017-05-26,304.543,100.0,310.0,228.2006838841217,133,газове,40
2017-07-26,190.678,100.0,310.0,269.95385217199663,71,газове,16
2017-04-14,221.977,100.0,310.0,248.90140082396246,89,газове,31
2017-08-21,189.589,100.0,310.0,252.48617857639053,75,газове,21
2017-04-11,208.687,100.0,310.0,243.9341056255279,86,газове,30
2017-05-12,289.927,100.0,310.0,205.26351436456656,141,газове,59
2017-04-10,208.634,100.0,310.0,242.27834055938303,86,газове,37
2017-08-02,194.768,100.0,310.0,259.2066347693892,75,газове,17
2017-05-18,295.568,100.0,310.0,215.09372987294734,137,газове,64
2017-02-28,123.17,100.0,310.0,100.7519107245347,122,газове,23
2017-08-19,184.953,100.0,310.0,253.1935950177588,73,газове,21
2017-07-21,203.223,100.0,310.0,278.61510982359937,73,газове,17
2017-03-20,157.612,100.0,310.0,183.0583413364273,86,газове,29
2017-09-08,191.633,100.0,310.0,248.51282639512397,77,газове,16
2017-08-08,186.489,100.0,310.0,257.0843854452844,73,газове,28
2017-07-31,194.631,100.0,310.0,261.2925945203939,74,газове,27
