date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,12.986,,,0.0,,газове вугілля,9
2017-07-28,24.007,,,26.129032258064516,92,газове вугілля,33
2017-04-05,22.723,,,16.96333333333333,134,газове вугілля,36
2017-06-07,13.102,,,0.0,,газове вугілля,11
2017-07-19,26.046,,,17.41935483870968,150,газове вугілля,39
2017-08-04,23.504,,,32.903225806451616,71,газове вугілля,25
2017-04-04,22.655,,,16.94,134,газове вугілля,26
2017-05-19,7.941,,,25.777419354838713,31,газове вугілля,8
2017-04-19,16.845,,,17.29,97,газове вугілля,18
2017-06-16,15.445,,,0.0,,газове вугілля,22
2017-06-02,12.533,,,0.0,,газове вугілля,13
2017-03-16,27.128,,,14.838709677419354,183,газове вугілля,28
2017-05-05,6.547,,,30.383870967741935,22,газове вугілля,7
2017-07-20,26.711,,,18.387096774193548,145,газове вугілля,37
2017-02-22,20.307,,,46.325,44,газове вугілля,26
2017-05-24,10.137,,,24.132258064516133,42,газове вугілля,11
2017-08-03,23.749,,,31.935483870967744,74,газове вугілля,36
2017-06-13,14.276,,,0.0,,газове вугілля,20
2017-03-14,27.851,,,14.993548387096775,186,газове вугілля,41
2017-07-14,24.283,,,12.580645161290324,193,газове вугілля,34
2017-04-20,15.522,,,17.31333333333333,90,газове вугілля,12
2017-08-31,32.695,,,59.03225806451613,55,газове вугілля,49
2017-06-21,17.027,,,0.0,,газове вугілля,18
2017-08-30,32.258,,,58.064516129032256,56,газове вугілля,40
2017-07-11,22.589,,,9.67741935483871,233,газове вугілля,44
2017-09-11,34.013,,,63.53333333333333,54,газове вугілля,57
2017-09-06,34.089,,,61.766666666666666,55,газове вугілля,40
2017-05-26,10.943,,,23.4741935483871,47,газове вугілля,13
2017-07-26,24.908,,,24.193548387096776,103,газове вугілля,35
2017-04-14,19.063,,,17.173333333333332,111,газове вугілля,14
2017-08-21,30.004,,,49.35483870967742,61,газове вугілля,44
2017-04-11,20.025,,,17.10333333333333,117,газове вугілля,22
2017-05-12,6.338,,,28.080645161290324,23,газове вугілля,8
2017-04-10,20.435,,,17.08,120,газове вугілля,18
2017-08-02,24.201,,,30.967741935483872,78,газове вугілля,35
2017-05-18,7.506,,,26.10645161290323,29,газове вугілля,8
2017-02-28,23.115,,,45.275,51,газове вугілля,21
2017-08-19,29.242,,,47.41935483870968,62,газове вугілля,59
2017-07-21,27.225,,,19.35483870967742,141,газове вугілля,41
2017-03-20,24.678,,,14.529032258064516,170,газове вугілля,22
2017-09-08,32.788,,,62.47333333333333,52,газове вугілля,31
2017-08-08,24.733,,,36.774193548387096,67,газове вугілля,32
2017-07-31,23.887,,,29.032258064516128,82,газове вугілля,27
2017-08-11,25.566,,,39.67741935483871,64,газове вугілля,38
2017-05-15,6.307,,,27.093548387096774,23,газове вугілля,8
2017-05-22,9.279,,,24.790322580645164,37,газове вугілля,11
2017-02-20,18.013,,,46.675,39,газове вугілля,22
2017-03-06,28.411,,,15.612903225806452,182,газове вугілля,30
2017-06-12,13.815,,,0.0,,газове вугілля,23
2017-06-19,16.655,,,0.0,,газове вугілля,17
2017-06-27,18.622,,,0.0,,газове вугілля,27
2017-04-25,11.475,,,17.43,66,газове вугілля,9
2017-03-30,22.215,,,16.813870967741938,132,газове вугілля,24
2017-04-06,22.737,,,16.986666666666665,134,газове вугілля,34
2017-06-22,17.582,,,0.0,,газове вугілля,28
2017-07-10,21.467,,,8.70967741935484,246,газове вугілля,28
2017-06-15,15.108,,,0.0,,газове вугілля,22
2017-02-27,21.292,,,45.45,47,газове вугілля,20
2017-03-03,27.446,,,15.845161290322581,173,газове вугілля,26
2017-08-14,27.215,,,42.58064516129032,64,газове вугілля,41
2017-05-11,5.927,,,28.40967741935484,21,газове вугілля,10
2017-05-17,7.045,,,26.435483870967744,27,газове вугілля,7
2017-04-21,14.44,,,17.336666666666662,83,газове вугілля,13
2017-03-24,23.031,,,16.64548387096774,138,газове вугілля,20
2017-06-23,18.023,,,0.0,,газове вугілля,22
2017-05-30,11.708,,,22.158064516129038,53,газове вугілля,11
2017-05-04,7.324,,,30.71290322580645,24,газове вугілля,8
2017-08-16,28.571,,,44.516129032258064,64,газове вугілля,38
2017-09-01,33.404,,,60.0,56,газове вугілля,55
2017-03-23,23.473,,,16.61741935483871,141,газове вугілля,24
2017-06-14,14.404,,,0.0,,газове вугілля,20
2017-04-12,19.116,,,17.126666666666665,112,газове вугілля,20
2017-05-03,7.809,,,31.04193548387097,25,газове вугілля,8
2017-04-27,10.561,,,17.476666666666663,60,газове вугілля,10
