date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,0.02,,,36.34673333333333,0,антрацит,0
2017-07-28,0.02,,,48.82645161290322,0,антрацит,0
2017-04-05,0.02,,,25.785666666666664,0,антрацит,0
2017-06-07,0.02,,,35.0918,0,антрацит,0
2017-07-19,0.02,,,43.890967741935484,0,антрацит,0
2017-08-04,0.02,,,52.471612903225804,0,антрацит,0
2017-04-04,0.02,,,25.528,0,антрацит,0
2017-05-19,0.02,,,15.697741935483872,0,антрацит,0
2017-04-19,0.02,,,29.393,0,антрацит,0
2017-06-16,0.02,,,40.739,0,антрацит,0
2017-06-02,0.02,,,31.95446666666667,0,антрацит,0
2017-03-16,2.359,,,2.953354838709674,80,антрацит,8
2017-05-05,0.02,,,10.278387096774194,0,антрацит,0
2017-07-20,0.02,,,44.439354838709676,0,антрацит,0
2017-02-22,3.22,,,4.920499999999999,65,антрацит,12
2017-05-24,0.02,,,17.633225806451613,0,антрацит,0
2017-08-03,0.02,,,51.98774193548387,0,антрацит,0
2017-06-13,0.02,,,38.8566,0,антрацит,0
2017-03-14,2.446,,,3.0107741935483836,81,антрацит,4
2017-07-14,0.02,,,41.14903225806451,0,антрацит,0
2017-04-20,0.02,,,29.650666666666666,0,антрацит,0
2017-08-31,0.02,,,65.53612903225806,0,антрацит,0
2017-06-21,0.02,,,43.876333333333335,0,антрацит,0
2017-08-30,0.02,,,65.05225806451612,0,антрацит,0
2017-07-11,0.02,,,39.50387096774193,0,антрацит,0
2017-09-11,0.02,,,70.35333333333332,0,антрацит,0
2017-09-06,0.02,,,68.18666666666667,0,антрацит,0
2017-05-26,0.02,,,18.40741935483871,0,антрацит,0
2017-07-26,0.02,,,47.729677419354836,0,антрацит,0
2017-04-14,0.02,,,28.104666666666667,0,антрацит,0
2017-08-21,0.02,,,60.69741935483871,0,антрацит,0
2017-04-11,0.02,,,27.331666666666667,0,антрацит,0
2017-05-12,0.02,,,12.988064516129032,0,антрацит,0
2017-04-10,0.02,,,27.073999999999998,0,антрацит,0
2017-08-02,0.02,,,51.50387096774193,0,антрацит,0
2017-05-18,0.02,,,15.310645161290322,0,антрацит,0
2017-02-28,1.101,,,4.113499999999999,27,антрацит,3
2017-08-19,0.02,,,59.729677419354836,0,антрацит,0
2017-07-21,0.02,,,44.98774193548387,0,антрацит,0
2017-03-20,1.606,,,2.8385161290322545,57,антрацит,6
2017-09-08,0.02,,,69.05333333333333,0,антрацит,0
2017-08-08,0.02,,,54.40709677419355,0,антрацит,0
2017-07-31,0.02,,,50.471612903225804,0,антрацит,0
2017-08-11,0.02,,,55.85870967741935,0,антрацит,0
2017-05-15,0.02,,,14.149354838709677,0,антрацит,0
2017-05-22,0.02,,,16.859032258064516,0,антрацит,0
2017-02-20,3.406,,,5.189499999999999,66,антрацит,8
2017-03-06,0.051,,,3.2404516129032226,2,антрацит,0
2017-06-12,0.02,,,38.22913333333334,0,антрацит,0
2017-06-19,0.02,,,42.6214,0,антрацит,0
2017-06-27,0.02,,,33.66093333333333,0,антрацит,0
2017-04-25,0.02,,,30.939,0,антрацит,0
2017-03-30,0.02,,,23.37622580645161,0,антрацит,0
2017-04-06,0.02,,,26.043333333333333,0,антрацит,0
2017-06-22,0.02,,,33.2121,0,антрацит,0
2017-07-10,0.02,,,38.95548387096774,0,антрацит,0
2017-06-15,0.02,,,40.111533333333334,0,антрацит,0
2017-02-27,1.245,,,4.247999999999999,29,антрацит,3
2017-03-03,0.051,,,3.326580645161287,2,антрацит,0
2017-08-14,0.02,,,57.310322580645156,0,антрацит,0
2017-05-11,0.02,,,12.600967741935484,0,антрацит,0
2017-05-17,0.02,,,14.923548387096774,0,антрацит,0
2017-04-21,0.02,,,29.90833333333333,0,антрацит,0
2017-03-24,0.63,,,19.23990322580645,3,антрацит,2
2017-06-23,0.02,,,33.30186666666666,0,антрацит,0
2017-05-30,0.02,,,19.9558064516129,0,антрацит,0
2017-05-04,0.02,,,9.891290322580645,0,антрацит,0
2017-08-16,0.02,,,58.27806451612903,0,антрацит,0
2017-09-01,0.02,,,66.02,0,антрацит,0
2017-03-23,0.925,,,18.550516129032257,5,антрацит,3
2017-06-14,0.02,,,39.48406666666666,0,антрацит,0
2017-04-12,0.02,,,27.589333333333332,0,антрацит,0
