date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,100.214,120.0,550.0,120.400192383116,83,пісне,0
2017-07-28,100.534,120.0,550.0,335.4238623756679,30,пісне,26
2017-04-05,39.765,120.0,550.0,16.595980842832773,240,пісне,33
2017-06-07,96.756,120.0,550.0,108.44908639699233,89,пісне,0
2017-07-19,93.387,120.0,550.0,307.55110719248296,30,пісне,47
2017-08-04,129.659,120.0,550.0,338.86927553929365,38,пісне,49
2017-04-04,40.969,120.0,550.0,17.180355670337025,238,пісне,32
2017-05-19,69.671,120.0,550.0,58.26491281291472,120,пісне,56
2017-04-19,32.889,120.0,550.0,8.414733257773246,391,пісне,0
2017-06-16,101.655,120.0,550.0,162.2290633345489,63,пісне,0
2017-06-02,82.578,120.0,550.0,78.57132143168313,105,пісне,0
2017-03-16,67.232,120.0,550.0,66.85371975434589,101,пісне,25
2017-05-05,46.736,120.0,550.0,16.88610629546416,277,пісне,0
2017-09-14,65.723,120.0,550.0,265.45986774014017,25,пісне,36
2017-07-20,91.517,120.0,550.0,310.64807999061463,29,пісне,49
2017-02-22,121.154,120.0,550.0,131.95468007388283,92,пісне,49
2017-05-24,68.683,120.0,550.0,74.39394507097924,92,пісне,0
2017-08-03,125.348,120.0,550.0,341.8501015489273,37,пісне,49
2017-06-13,101.659,120.0,550.0,144.30240435536336,70,пісне,0
2017-09-22,47.432,120.0,550.0,271.64677264511755,17,пісне,19
2017-03-14,72.241,120.0,550.0,73.01902912049817,99,пісне,28
2017-07-14,97.6,120.0,550.0,292.06624320182465,33,пісне,0
2017-04-20,32.889,120.0,550.0,7.830358430268994,420,пісне,0
2017-08-31,45.095,120.0,550.0,258.3869732791856,17,пісне,26
2017-06-21,101.655,120.0,550.0,192.10682829985808,53,пісне,0
2017-08-30,46.84,120.0,550.0,261.36779928881924,18,пісне,43
2017-07-11,97.6,120.0,550.0,282.7753248074297,35,пісне,0
2017-09-11,56.031,120.0,550.0,263.13977840077365,21,пісне,0
2017-09-06,45.953,120.0,550.0,259.27296283516284,18,пісне,0
2017-05-26,68.683,120.0,550.0,80.84555797420504,85,пісне,0
2017-07-26,89.059,120.0,550.0,329.22991677940456,27,пісне,44
2017-09-15,62.499,120.0,550.0,266.23323085326234,23,пісне,13
2017-04-14,32.889,120.0,550.0,11.336607395294507,290,пісне,0
2017-08-21,33.589,120.0,550.0,288.1952333755219,12,пісне,6
2017-04-11,32.888,120.0,550.0,13.089731877807262,251,пісне,32
2017-05-12,70.781,120.0,550.0,35.6842676516244,198,пісне,0
2017-04-10,33.926,120.0,550.0,13.674106705311514,248,пісне,32
2017-08-02,114.007,120.0,550.0,344.8309275585609,33,пісне,43
2017-05-18,70.919,120.0,550.0,55.03910636130182,129,пісне,0
2017-02-28,107.084,120.0,550.0,131.1240760389379,82,пісне,49
2017-08-19,28.087,120.0,550.0,294.1568853947892,10,пісне,5
2017-07-21,89.975,120.0,550.0,313.7450527887463,29,пісне,58
