date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,383.268,100.0,583.0,425.1103694158143,90,газове,32
2017-07-28,191.829,100.0,583.0,432.3138072577468,44,газове,13
2017-04-05,371.68,100.0,583.0,269.08950816634206,138,газове,52
2017-06-07,388.758,100.0,583.0,421.94894657821504,92,газове,37
2017-07-19,206.465,100.0,583.0,441.53263472324363,47,газове,17
2017-08-04,162.738,100.0,583.0,421.6282567525431,39,газове,10
2017-04-04,366.422,100.0,583.0,267.1839145535989,137,газове,77
2017-05-19,380.156,100.0,583.0,238.65998206744962,159,газове,36
2017-04-19,359.341,100.0,583.0,295.76781874474597,121,газове,33
2017-06-16,395.301,100.0,583.0,436.17534934741184,91,газове,40
2017-06-02,377.513,100.0,583.0,414.0453894842168,91,газове,32
2017-03-16,283.229,100.0,583.0,218.81441646653346,129,газове,59
2017-05-05,341.884,100.0,583.0,321.0083024871795,107,газове,32
2017-09-14,119.207,100.0,583.0,343.6054766454297,35,газове,8
2017-07-20,202.553,100.0,583.0,440.50832056041065,46,газове,13
2017-02-22,154.091,100.0,583.0,129.8978685373001,119,газове,18
2017-05-24,381.105,100.0,583.0,241.62668255434446,158,газове,30
2017-08-03,172.782,100.0,583.0,423.8243547038337,41,газове,12
2017-06-13,395.167,100.0,583.0,431.43321509101287,92,газове,43
2017-09-22,150.727,100.0,583.0,333.4319151248287,45,газове,10
2017-03-14,276.536,100.0,583.0,212.71535171016157,130,газове,51
2017-07-14,243.56000000000003,100.0,583.0,446.6542055374086,55,газове,15
2017-04-20,353.317,100.0,583.0,297.6734123574891,119,газове,33
2017-08-31,151.088,100.0,583.0,362.33361206769683,42,газове,10
2017-06-21,399.733,100.0,583.0,444.07890644141,90,газове,35
2017-08-30,158.252,100.0,583.0,364.52971001898743,43,газове,13
2017-07-11,287.736,100.0,583.0,449.7271480259075,64,газове,17
2017-09-11,117.118,100.0,583.0,347.420562215655,34,газове,10
2017-09-06,129.906,100.0,583.0,353.77903816603066,37,газове,9
2017-05-26,383.65,100.0,583.0,242.81336274910237,158,газове,50
2017-07-26,194.341,100.0,583.0,434.3624355834128,45,газове,15
2017-09-15,119.771,100.0,583.0,342.3337814553546,35,газове,8
2017-04-14,355.047,100.0,583.0,286.2398506810303,124,газове,35
2017-08-21,140.758,100.0,583.0,384.29459158060286,37,газове,12
2017-04-11,364.849,100.0,583.0,280.5230698428009,130,газове,34
2017-05-12,373.342,100.0,583.0,234.50660138579684,159,газове,42
2017-04-10,369.293,100.0,583.0,278.6174762300578,133,газове,65
2017-08-02,170.52,100.0,583.0,426.0204526551243,40,газове,11
2017-05-18,384.57,100.0,583.0,238.06664197007063,162,газове,38
