date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,343.629,100.0,488.0,354.47314747183094,97,газове вугілля,40
2017-07-28,224.544,100.0,488.0,319.30615367906245,70,газове вугілля,21
2017-04-05,207.992,100.0,488.0,163.47857692951206,127,газове вугілля,45
2017-06-07,347.443,100.0,488.0,353.04572239815263,98,газове вугілля,51
2017-07-19,262.771,100.0,488.0,336.30286079681986,78,газове вугілля,27
2017-08-04,195.227,100.0,488.0,304.9440576796252,64,газове вугілля,17
2017-04-04,201.986,100.0,488.0,160.684229680373,126,газове вугілля,41
2017-05-19,316.237,100.0,488.0,191.69808402580108,165,газове вугілля,61
2017-04-19,254.77,100.0,488.0,202.59943841745906,126,газове вугілля,39
2017-06-16,331.346,100.0,488.0,359.4691352297049,92,газове вугілля,30
2017-06-02,338.342,100.0,488.0,349.47715971395695,97,газове вугілля,51
2017-03-16,163.864,100.0,488.0,99.94114262270514,164,газове вугілля,33
2017-05-05,273.569,100.0,488.0,237.213131534519,115,газове вугілля,65
2017-07-20,258.12,100.0,488.0,334.41433778373573,77,газове вугілля,30
2017-02-22,50.823,100.0,488.0,122.48096342737023,41,газове вугілля,13
2017-05-24,328.534,100.0,488.0,193.04999168503994,170,газове вугілля,101
2017-08-03,200.478,100.0,488.0,307.21339232865876,65,газове вугілля,14
2017-06-13,346.289,100.0,488.0,357.3279976191875,97,газове вугілля,53
2017-03-14,148.103,100.0,488.0,94.01767802407873,158,газове вугілля,29
2017-07-14,267.14699999999993,100.0,488.0,345.7454758622407,77,газове вугілля,24
2017-04-20,252.142,100.0,488.0,205.39378566659812,123,газове вугілля,35
2017-08-31,170.536,100.0,488.0,243.67202215572019,70,газове вугілля,26
2017-06-21,312.802,100.0,488.0,363.0376979139006,86,газове вугілля,22
2017-08-30,170.618,100.0,488.0,245.9413568047537,69,газове вугілля,18
2017-07-11,276.17099999999994,100.0,488.0,351.4110449014932,79,газове вугілля,29
2017-09-11,142.224,100.0,488.0,246.6453953085108,58,газове вугілля,13
2017-09-06,152.627,100.0,488.0,244.02404140759876,63,газове вугілля,14
2017-05-26,329.488,100.0,488.0,193.5907547487355,170,газове вугілля,64
2017-07-26,237.517,100.0,488.0,323.08319970523075,74,газове вугілля,20
2017-04-14,236.164,100.0,488.0,188.6277021717637,125,газове вугілля,57
2017-08-21,166.679,100.0,488.0,266.3653686460554,63,газове вугілля,14
2017-04-11,218.701,100.0,488.0,180.24466042434648,121,газове вугілля,33
2017-05-12,307.107,100.0,488.0,189.80541330286664,162,газове вугілля,65
2017-04-10,221.543,100.0,488.0,177.4503131752074,125,газове вугілля,42
2017-08-02,207.981,100.0,488.0,309.48272697769227,67,газове вугілля,17
2017-05-18,314.937,100.0,488.0,191.4277024939533,165,газове вугілля,56
2017-02-28,73.17,100.0,488.0,127.08553645712267,58,газове вугілля,18
2017-08-19,169.291,100.0,488.0,270.9040379441224,62,газове вугілля,17
2017-07-21,256.717,100.0,488.0,332.52581477065155,77,газове вугілля,29
2017-03-20,162.079,100.0,488.0,111.78807181995798,145,газове вугілля,55
2017-09-08,147.733,100.0,488.0,245.07258296796357,60,газове вугілля,13
2017-08-08,177.921,100.0,488.0,295.86671908349115,60,газове вугілля,14
2017-07-31,218.067,100.0,488.0,313.64058463980996,70,газове вугілля,39
2017-08-11,168.792,100.0,488.0,289.05871513639056,58,газове вугілля,14
2017-05-15,314.88,100.0,488.0,190.61655789840998,165,газове вугілля,98
2017-05-22,320.329,100.0,488.0,192.5092286213444,166,газове вугілля,58
2017-02-20,50.558,100.0,488.0,120.94610575078607,42,газове вугілля,12
2017-03-06,97.394,100.0,488.0,70.32381962957308,138,газове вугілля,52
2017-06-12,349.128,100.0,488.0,356.6142850823484,98,газове вугілля,65
2017-06-19,330.743,100.0,488.0,361.6102728402223,91,газове вугілля,70
2017-06-27,296.803,100.0,488.0,367.3199731349354,81,газове вугілля,33
2017-04-25,254.08,100.0,488.0,219.36552191229347,116,газове вугілля,34
2017-03-30,192.061,100.0,488.0,146.37772333432935,131,газове вугілля,56
2017-04-06,207.002,100.0,488.0,166.27292417865112,124,газове вугілля,44
2017-06-22,304.377,100.0,488.0,363.75141045073974,84,газове вугілля,25
2017-07-10,277.14,100.0,488.0,353.2995679145773,78,газове вугілля,38
2017-06-15,339.418,100.0,488.0,358.75542269286575,95,газове вугілля,34
2017-02-27,69.963,100.0,488.0,126.3181076188306,55,газове вугілля,18
2017-03-03,83.966,100.0,488.0,61.43862273163346,137,газове вугілля,30
2017-08-14,171.193,100.0,488.0,282.25071118929003,61,газове вугілля,17
2017-05-11,304.563,100.0,488.0,189.53503177101888,161,газове вугілля,54
2017-05-17,318.159,100.0,488.0,191.15732096210553,166,газове вугілля,51
2017-04-21,248.6,100.0,488.0,208.18813291573719,119,газове вугілля,34
2017-03-24,177.608,100.0,488.0,128.60732953845013,138,газове вугілля,65
2017-06-23,307.46,100.0,488.0,364.46512298757887,84,газове вугілля,33
2017-05-30,336.17,100.0,488.0,194.6722808761266,173,газове вугілля,60
2017-05-04,270.673,100.0,488.0,236.9427500026712,114,газове вугілля,51
2017-08-16,169.212,100.0,488.0,277.71204189122295,61,газове вугілля,16
2017-09-01,167.763,100.0,488.0,241.40268750668668,69,газове вугілля,13
2017-03-23,176.888,100.0,488.0,125.64559723913692,141,газове вугілля,58
2017-06-14,342.124,100.0,488.0,358.0417101560266,96,газове вугілля,44
2017-04-12,228.279,100.0,488.0,183.03900767348554,125,газове вугілля,43
2017-05-03,268.442,100.0,488.0,236.67236847082344,113,газове вугілля,58
2017-04-27,257.582,100.0,488.0,224.95421641057163,115,газове вугілля,43
2017-05-10,303.553,100.0,488.0,189.2646502391711,160,газове вугілля,74
2017-05-23,321.955,100.0,488.0,192.77961015319218,167,газове вугілля,59
2017-03-17,165.872,100.0,488.0,102.90287492201836,161,газове вугілля,33
2017-07-05,281.71700000000004,100.0,488.0,362.7421829799981,78,газове вугілля,44
2017-04-24,254.108,100.0,488.0,216.5711746631544,117,газове вугілля,42
2017-02-24,59.269,100.0,488.0,124.01582110395438,48,газове вугілля,15
2017-02-23,53.778,100.0,488.0,123.2483922656623,44,газове вугілля,11
2017-05-13,306.694,100.0,488.0,190.07579483471443,161,газове вугілля,79
2017-07-27,231.302,100.0,488.0,321.1946766921466,72,газове вугілля,18
2017-06-26,301.853,100.0,488.0,366.6062605980963,82,газове вугілля,68
2017-05-16,313.241,100.0,488.0,190.88693943025774,164,газове вугілля,59
2017-08-10,176.363,100.0,488.0,291.3280497854241,61,газове вугілля,14
2017-03-09,117.239,100.0,488.0,79.2090165275127,148,газове вугілля,49
2017-04-13,230.128,100.0,488.0,185.8333549226246,124,газове вугілля,46
2017-07-18,268.753,100.0,488.0,338.19138380990404,79,газове вугілля,34
2017-07-13,270.1039999999999,100.0,488.0,347.63399887532483,78,газове вугілля,28
2017-08-18,170.433,100.0,488.0,273.17337259315593,62,газове вугілля,19
2017-05-25,332.781,100.0,488.0,193.32037321688773,172,газове вугілля,63
2017-04-26,252.702,100.0,488.0,222.15986916143254,114,газове вугілля,27
2017-08-17,165.869,100.0,488.0,275.44270724218944,60,газове вугілля,15
2017-08-22,166.276,100.0,488.0,264.0960339970219,63,газове вугілля,13
2017-08-29,169.406,100.0,488.0,248.21069145378723,68,газове вугілля,23
2017-08-09,180.306,100.0,488.0,293.59738443445764,61,газове вугілля,15
2017-03-01,75.503,100.0,488.0,127.85296529541475,59,газове вугілля,17
2017-09-12,148.829,100.0,488.0,247.16966608869325,60,газове вугілля,15
2017-03-07,104.32,100.0,488.0,73.28555192888629,142,газове вугілля,27
2017-07-12,272.6459999999999,100.0,488.0,349.522521888409,78,газове вугілля,25
2017-08-28,165.938,100.0,488.0,250.48002610282074,66,газове вугілля,19
2017-08-15,168.563,100.0,488.0,279.9813765402565,60,газове вугілля,13
2017-03-29,191.159,100.0,488.0,143.41599103501616,133,газове вугілля,48
2017-08-01,212.509,100.0,488.0,311.7520616267258,68,газове вугілля,22
2017-09-13,148.1,100.0,488.0,247.69393686887565,60,газове вугілля,13
2017-07-17,272.2,100.0,488.0,340.0799068229882,80,газове вугілля,46
2017-03-28,191.014,100.0,488.0,140.45425873570295,136,газове вугілля,45
2017-04-07,209.418,100.0,488.0,169.0672714277902,124,газове вугілля,38
2017-06-01,341.228,100.0,488.0,195.21304393982214,175,газове вугілля,63
2017-03-22,171.074,100.0,488.0,117.71153641858439,145,газове вугілля,36
2017-03-21,164.459,100.0,488.0,114.74980411927118,143,газове вугілля,35
2017-03-02,75.485,100.0,488.0,129.92654403429478,58,газове вугілля,20
2017-03-27,184.471,100.0,488.0,137.49252643638974,134,газове вугілля,46
2017-07-25,239.583,100.0,488.0,324.97172271831494,74,газове вугілля,20
2017-04-18,250.886,100.0,488.0,199.80509116831996,126,газове вугілля,50
2017-07-07,281.347,100.0,488.0,358.96513695383,78,газове вугілля,40
2017-04-03,203.289,100.0,488.0,157.8898824312339,129,газове вугілля,75
2017-06-20,326.518,100.0,488.0,362.32398537706143,90,газове вугілля,37
2017-03-15,156.23,100.0,488.0,96.97941032339195,161,газове вугілля,28
2017-05-31,342.925,100.0,488.0,194.94266240797435,176,газове вугілля,66
2017-07-24,239.366,100.0,488.0,326.86024573139906,73,газове вугілля,20
2017-09-05,163.29,100.0,488.0,243.49977062741632,67,газове вугілля,15
2017-03-13,146.22,100.0,488.0,91.05594572476554,161,газове вугілля,53
2017-03-31,192.009,100.0,488.0,149.33945563364256,129,газове вугілля,65
2017-06-06,346.952,100.0,488.0,352.3320098613135,98,газове вугілля,75
2017-06-08,343.513,100.0,488.0,353.7594349349918,97,газове вугілля,45
2017-08-23,164.44,100.0,488.0,261.8266993479883,63,газове вугілля,18
2017-08-07,183.625,100.0,488.0,298.13605373252466,62,газове вугілля,17
2017-05-29,337.61,100.0,488.0,194.40189934427883,174,газове вугілля,76
2017-09-04,160.105,100.0,488.0,242.97549984723392,66,газове вугілля,17
2017-03-10,121.787,100.0,488.0,82.1707488268259,148,газове вугілля,43
2017-04-28,252.145,100.0,488.0,227.74856365971067,111,газове вугілля,39
2017-09-07,147.865,100.0,488.0,244.54831218778116,60,газове вугілля,13
