date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,142.573,50.0,820.0,151.71161707139376,94,антрацит,47
2017-07-28,145.455,50.0,820.0,160.4296283610894,91,антрацит,44
2017-04-05,224.263,50.0,820.0,334.5176591235432,67,антрацит,54
2017-06-07,143.819,50.0,820.0,150.9662414869306,95,антрацит,57
2017-07-19,149.478,50.0,820.0,160.26102963569366,93,антрацит,54
2017-08-04,140.295,50.0,820.0,161.4115845548914,87,антрацит,53
2017-04-04,228.383,50.0,820.0,332.4501734631881,69,антрацит,67
2017-05-19,143.706,50.0,820.0,153.20719876950986,94,антрацит,52
2017-04-19,168.256,50.0,820.0,363.4624583685146,46,антрацит,45
2017-06-16,143.065,50.0,820.0,154.3204316170149,93,антрацит,41
2017-06-02,150.14,50.0,820.0,149.10280252577266,101,антрацит,57
2017-03-16,308.153,50.0,820.0,339.9670587170089,91,антрацит,63
2017-05-05,143.819,50.0,820.0,394.34755249663056,36,антрацит,53
2017-09-14,103.708,50.0,820.0,175.17300667926276,59,антрацит,32
2017-07-20,149.952,50.0,820.0,160.27976282740428,94,антрацит,47
2017-02-22,297.478,50.0,820.0,116.69324333625207,255,антрацит,60
2017-05-24,142.549,50.0,820.0,160.80128152432832,89,антрацит,46
2017-08-03,141.223,50.0,820.0,161.1092434125716,88,антрацит,55
2017-06-13,144.321,50.0,820.0,153.2023682403201,94,антрацит,44
2017-09-22,88.737,50.0,820.0,178.43200368813476,50,антрацит,31
2017-03-14,317.918,50.0,820.0,341.08610872658704,93,антрацит,74
2017-07-14,153.14100000000002,50.0,820.0,160.16736367714043,96,антрацит,64
2017-04-20,164.741,50.0,820.0,365.5299440288697,45,антрацит,47
2017-08-31,125.423,50.0,820.0,169.57479539752597,74,антрацит,62
2017-06-21,145.208,50.0,820.0,156.18387057817282,93,антрацит,48
2017-08-30,123.401,50.0,820.0,169.27245425520616,73,антрацит,46
2017-07-11,146.60100000000003,50.0,820.0,160.1111641020085,92,антрацит,60
2017-09-11,108.63,50.0,820.0,173.95088280093577,62,антрацит,48
2017-09-06,117.272,50.0,820.0,171.91400967039075,68,антрацит,47
2017-05-26,143.745,50.0,820.0,163.8389146262557,88,антрацит,43
2017-07-26,146.302,50.0,820.0,160.39216197766814,91,антрацит,50
2017-09-15,100.743,50.0,820.0,175.58038130537176,57,антрацит,34
2017-04-14,187.448,50.0,820.0,353.1250300667391,53,антрацит,48
2017-08-21,133.139,50.0,820.0,166.55138397432796,80,антрацит,62
2017-04-11,199.328,50.0,820.0,346.9225730856738,57,антрацит,46
2017-05-12,140.129,50.0,820.0,142.57548291276402,98,антрацит,58
2017-04-10,203.673,50.0,820.0,344.8550874253187,59,антрацит,46
2017-08-02,139.69,50.0,820.0,160.80690227025178,87,антрацит,49
2017-05-18,142.651,50.0,820.0,151.68838221854617,94,антрацит,64
2017-02-28,340.186,50.0,820.0,113.2952871967351,300,антрацит,69
2017-08-19,138.424,50.0,820.0,165.94670168968838,83,антрацит,47
2017-07-21,146.967,50.0,820.0,160.29849601911494,92,антрацит,49
2017-09-21,88.198,50.0,820.0,178.02462906202575,50,антрацит,36
2017-03-20,290.222,50.0,820.0,337.7289586978526,86,антрацит,63
2017-09-08,111.507,50.0,820.0,172.72875892260876,65,антрацит,40
2017-08-08,138.984,50.0,820.0,162.62094912417058,85,антрацит,44
2017-07-31,143.887,50.0,820.0,160.48582793622134,90,антрацит,45
2017-09-26,77.424,50.0,820.0,180.06150219257077,43,антрацит,32
2017-08-11,133.755,50.0,820.0,163.52797255112998,82,антрацит,50
2017-05-15,142.131,50.0,820.0,147.1319325656551,97,антрацит,43
2017-05-22,141.478,50.0,820.0,157.76364842240093,90,антрацит,45
2017-02-20,278.97,50.0,820.0,117.82589538275772,237,антрацит,50
2017-03-06,350.964,50.0,820.0,345.5623087648997,102,антрацит,94
2017-06-12,145.267,50.0,820.0,152.82968044808854,95,антрацит,61
2017-06-19,140.989,50.0,820.0,155.43849499370964,91,антрацит,67
2017-06-27,151.307,50.0,820.0,158.4199973315623,96,антрацит,54
2017-04-25,152.756,50.0,820.0,375.8673723306452,41,антрацит,38
2017-03-30,248.947,50.0,820.0,327.340960040088,76,антрацит,72
2017-04-06,220.023,50.0,820.0,336.5851447838983,65,антрацит,52
2017-06-22,142.453,50.0,820.0,156.5565583704044,91,антрацит,52
2017-07-10,149.04100000000003,50.0,820.0,160.09243091029788,93,антрацит,46
2017-06-15,142.19,50.0,820.0,153.9477438247833,92,антрацит,43
2017-02-27,331.693,50.0,820.0,113.86161321998793,291,антрацит,78
2017-03-03,346.558,50.0,820.0,347.24088377926694,100,антрацит,70
2017-08-14,137.441,50.0,820.0,164.43499597808938,84,антрацит,47
2017-09-19,93.093,50.0,820.0,177.20987980980777,53,антрацит,32
