date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,95.299,80.0,410.0,77.23315985207161,123,антрацит,0
2017-07-28,106.163,80.0,410.0,167.8659331475239,63,антрацит,69
2017-04-05,30.789,80.0,410.0,34.574008004759456,89,антрацит,34
2017-06-07,91.83,80.0,410.0,74.59966524935668,123,антрацит,0
2017-07-19,109.152,80.0,410.0,147.3443335647401,74,антрацит,98
2017-08-04,104.427,80.0,410.0,176.86290148408077,59,антрацит,75
2017-04-04,31.683,80.0,410.0,35.20437625876988,90,антрацит,21
2017-05-19,66.732,80.0,410.0,62.029767473864716,108,антрацит,0
2017-04-19,30.789,80.0,410.0,25.748852448613533,120,антрацит,0
2017-06-16,92.297,80.0,410.0,86.45039096157387,107,антрацит,136
2017-06-02,74.765,80.0,410.0,68.01592874256934,110,антрацит,0
2017-03-16,63.838,80.0,410.0,76.50520008657372,83,антрацит,27
2017-05-05,41.104,80.0,410.0,22.055401142423943,186,антрацит,0
2017-09-14,46.426,80.0,410.0,208.59103912922433,22,антрацит,20
2017-07-20,109.216,80.0,410.0,149.62451129616053,73,антрацит,78
2017-02-22,111.977,80.0,410.0,79.96928617334491,140,антрацит,67
2017-05-24,66.732,80.0,410.0,78.15879973192924,85,антрацит,0
2017-08-03,105.822,80.0,410.0,176.90414901378904,60,антрацит,267
2017-06-13,96.579,80.0,410.0,82.50014905750147,117,антрацит,1110
2017-09-22,36.843,80.0,410.0,228.82677357659375,16,антрацит,30
2017-03-14,68.449,80.0,410.0,81.3811526467763,84,антрацит,24
2017-07-14,108.845,80.0,410.0,135.94344490763802,80,антрацит,0
2017-04-20,30.789,80.0,410.0,25.118484194603113,123,антрацит,0
2017-08-31,60.734,80.0,410.0,175.74921818195727,35,антрацит,0
2017-06-21,91.432,80.0,410.0,93.03412746836119,98,антрацит,0
2017-08-30,60.734,80.0,410.0,175.79046571166555,35,антрацит,0
2017-07-11,108.78,80.0,410.0,129.10291171337676,84,антрацит,0
2017-09-11,53.954,80.0,410.0,201.00263871146078,27,антрацит,41
2017-09-06,61.763,80.0,410.0,188.3553046818549,33,антрацит,43
2017-05-26,64.665,80.0,410.0,84.61041263515503,76,антрацит,31
2017-07-26,109.12,80.0,410.0,163.30557768468304,67,антрацит,86
2017-09-15,44.624,80.0,410.0,211.1205059351455,21,антрацит,16
2017-04-14,30.789,80.0,410.0,28.90069371866565,107,антрацит,0
2017-08-21,66.974,80.0,410.0,176.16169347904005,38,антрацит,13
2017-04-11,30.789,80.0,410.0,30.79179848069692,100,антрацит,0
2017-05-12,64.863,80.0,410.0,39.449122312574396,164,антрацит,0
2017-04-10,30.789,80.0,410.0,31.42216673470734,98,антрацит,0
2017-08-02,106.021,80.0,410.0,176.9453965434973,60,антрацит,0
2017-05-18,66.732,80.0,410.0,58.80396102225181,113,антрацит,0
2017-02-28,101.961,80.0,410.0,79.97083904589974,127,антрацит,46
2017-08-19,76.21,80.0,410.0,176.2441885384566,43,антрацит,17
2017-07-21,108.295,80.0,410.0,151.90468902758096,71,антрацит,97
2017-09-21,34.426,80.0,410.0,226.29730677067258,15,антрацит,15
2017-03-20,53.675,80.0,410.0,66.75329496616855,80,антрацит,22
2017-09-08,58.943,80.0,410.0,193.41423829369725,30,антрацит,24
2017-08-08,96.263,80.0,410.0,176.69791136524765,54,антрацит,61
2017-07-31,106.021,80.0,410.0,174.70646634178516,61,антрацит,0
2017-09-26,48.715,80.0,410.0,238.94464080027848,20,антрацит,41
2017-08-11,91.319,80.0,410.0,176.5741687761228,52,антрацит,53
2017-05-15,65.349,80.0,410.0,49.1265416674131,133,антрацит,0
2017-05-22,66.732,80.0,410.0,71.70718682870341,93,антрацит,0
2017-02-20,116.174,80.0,410.0,79.96876854915996,145,антрацит,38
2017-03-06,88.282,80.0,410.0,100.88496288758662,88,антрацит,35
2017-06-12,96.666,80.0,410.0,81.18340175614401,119,антрацит,0
2017-06-19,91.432,80.0,410.0,90.40063286564626,101,антрацит,0
2017-06-27,99.274,80.0,410.0,100.93461127650599,98,антрацит,0
2017-04-25,30.789,80.0,410.0,21.966642924550996,140,антрацит,0
2017-03-30,39.008,80.0,410.0,41.97143358100372,93,антрацит,26
2017-04-06,30.789,80.0,410.0,33.94363975074903,91,антрацит,0
2017-06-22,91.432,80.0,410.0,94.35087476971866,97,антрацит,0
2017-07-10,108.78,80.0,410.0,126.82273398195633,86,антрацит,0
2017-06-15,92.977,80.0,410.0,85.13364366021639,109,антрацит,49
2017-02-27,104.153,80.0,410.0,79.97058023380727,130,антрацит,59
2017-03-03,95.836,80.0,410.0,108.19889172789051,89,антрацит,48
2017-08-14,87.762,80.0,410.0,176.450426186998,50,антрацит,61
2017-09-19,36.736,80.0,410.0,221.2383731588302,17,антрацит,14
2017-05-11,64.863,80.0,410.0,36.22331586096149,179,антрацит,0
2017-05-17,66.732,80.0,410.0,55.57815457063891,120,антрацит,0
2017-04-21,30.789,80.0,410.0,24.48811594059269,126,антрацит,0
2017-03-24,47.79,80.0,410.0,56.59929126161147,84,антрацит,29
2017-06-23,93.023,80.0,410.0,95.66762207107612,97,антрацит,0
2017-10-02,49.014,80.0,410.0,253.27915592256747,19,антрацит,0
2017-05-30,64.392,80.0,410.0,97.51363844160664,66,антрацит,0
2017-05-04,37.644,80.0,410.0,21.08765920694007,179,антрацит,0
2017-08-16,85.731,80.0,410.0,176.36793112758144,49,антрацит,127
2017-09-01,60.734,80.0,410.0,175.707970652249,35,антрацит,0
2017-03-23,49.425,80.0,410.0,59.037267541712765,84,антрацит,38
2017-06-14,94.863,80.0,410.0,83.81689635885894,113,антрацит,55
2017-04-12,30.789,80.0,410.0,30.161430226686495,102,антрацит,0
2017-05-03,34.249,80.0,410.0,20.119917271456202,170,антрацит,0
