date,reserve,min,max,planned,coal
2017-06-09,,,,,антрацитове вугілля
2017-07-28,,,,,антрацитове вугілля
2017-04-05,,,,,антрацитове вугілля
2017-06-07,,,,,антрацитове вугілля
2017-07-19,,,,,антрацитове вугілля
2017-04-04,,,,,антрацитове вугілля
2017-05-19,,,,,антрацитове вугілля
2017-04-19,,,,,антрацитове вугілля
2017-06-16,,,,,антрацитове вугілля
2017-06-02,,,,,антрацитове вугілля
2017-03-16,,,,,антрацитове вугілля
2017-05-05,,,,,антрацитове вугілля
2017-07-20,,,,,антрацитове вугілля
2017-02-22,,,,,антрацитове вугілля
2017-05-24,,,,,антрацитове вугілля
2017-06-13,,,,,антрацитове вугілля
2017-03-14,,,,,антрацитове вугілля
2017-07-14,,,,,антрацитове вугілля
2017-04-20,,,,,антрацитове вугілля
2017-06-21,,,,,антрацитове вугілля
2017-07-11,,,,,антрацитове вугілля
2017-05-26,,,,,антрацитове вугілля
2017-07-26,,,,,антрацитове вугілля
2017-04-14,,,,,антрацитове вугілля
2017-04-11,,,,,антрацитове вугілля
2017-05-12,,,,,антрацитове вугілля
2017-04-10,,,,,антрацитове вугілля
2017-05-18,,,,,антрацитове вугілля
2017-02-28,,,,,антрацитове вугілля
2017-07-21,,,,,антрацитове вугілля
2017-03-20,,,,,антрацитове вугілля
2017-07-31,,,,,антрацитове вугілля
2017-05-15,,,,,антрацитове вугілля
2017-05-22,,,,,антрацитове вугілля
2017-02-20,,,,,антрацитове вугілля
2017-03-06,,,,,антрацитове вугілля
2017-06-12,,,,,антрацитове вугілля
2017-06-19,,,,,антрацитове вугілля
2017-06-27,,,,,антрацитове вугілля
2017-04-25,,,,,антрацитове вугілля
2017-03-30,,,,,антрацитове вугілля
2017-04-06,,,,,антрацитове вугілля
2017-06-22,,,,,антрацитове вугілля
2017-07-10,,,,,антрацитове вугілля
2017-06-15,,,,,антрацитове вугілля
2017-02-27,,,,,антрацитове вугілля
2017-03-03,,,,,антрацитове вугілля
2017-05-11,,,,,антрацитове вугілля
2017-05-17,,,,,антрацитове вугілля
2017-04-21,,,,,антрацитове вугілля
2017-03-24,,,,,антрацитове вугілля
2017-06-23,,,,,антрацитове вугілля
2017-05-30,,,,,антрацитове вугілля
2017-05-04,,,,,антрацитове вугілля
2017-03-23,,,,,антрацитове вугілля
2017-06-14,,,,,антрацитове вугілля
2017-04-12,,,,,антрацитове вугілля
2017-05-03,,,,,антрацитове вугілля
2017-04-27,,,,,антрацитове вугілля
2017-05-10,,,,,антрацитове вугілля
2017-05-23,,,,,антрацитове вугілля
2017-03-17,,,,,антрацитове вугілля
2017-07-05,,,,,антрацитове вугілля
2017-04-24,,,,,антрацитове вугілля
2017-02-24,,,,,антрацитове вугілля
2017-02-23,,,,,антрацитове вугілля
2017-05-13,,,,,антрацитове вугілля
2017-07-27,,,,,антрацитове вугілля
2017-06-26,,,,,антрацитове вугілля
2017-05-16,,,,,антрацитове вугілля
2017-03-09,,,,,антрацитове вугілля
2017-04-13,,,,,антрацитове вугілля
2017-07-18,,,,,антрацитове вугілля
2017-07-13,,,,,антрацитове вугілля
2017-05-25,,,,,антрацитове вугілля
2017-04-26,,,,,антрацитове вугілля
2017-03-01,,,,,антрацитове вугілля
2017-03-07,,,,,антрацитове вугілля
2017-07-12,,,,,антрацитове вугілля
2017-03-29,,,,,антрацитове вугілля
2017-07-17,,,,,антрацитове вугілля
2017-03-28,,,,,антрацитове вугілля
2017-04-07,,,,,антрацитове вугілля
2017-06-01,,,,,антрацитове вугілля
2017-03-22,,,,,антрацитове вугілля
2017-03-21,,,,,антрацитове вугілля
2017-03-02,,,,,антрацитове вугілля
2017-03-27,,,,,антрацитове вугілля
2017-07-25,,,,,антрацитове вугілля
2017-04-18,,,,,антрацитове вугілля
2017-07-07,,,,,антрацитове вугілля
2017-04-03,,,,,антрацитове вугілля
2017-06-20,,,,,антрацитове вугілля
2017-03-15,,,,,антрацитове вугілля
2017-05-31,,,,,антрацитове вугілля
2017-07-24,,,,,антрацитове вугілля
2017-03-13,,,,,антрацитове вугілля
2017-03-31,,,,,антрацитове вугілля
2017-06-06,,,,,антрацитове вугілля
2017-06-08,,,,,антрацитове вугілля
2017-05-29,,,,,антрацитове вугілля
2017-03-10,,,,,антрацитове вугілля
2017-04-28,,,,,антрацитове вугілля
