date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,,,,,,антрацит,
2017-07-28,,,,,,антрацит,
2017-04-05,,,,,,антрацит,
2017-06-07,,,,,,антрацит,
2017-07-19,,,,,,антрацит,
2017-08-04,,,,,,антрацит,
2017-04-04,,,,,,антрацит,
2017-05-19,,,,,,антрацит,
2017-04-19,,,,,,антрацит,
2017-06-16,,,,,,антрацит,
2017-06-02,,,,,,антрацит,
2017-03-16,,,,,,антрацит,
2017-05-05,,,,,,антрацит,
2017-07-20,,,,,,антрацит,
2017-02-22,,,,,,антрацит,
2017-05-24,,,,,,антрацит,
2017-08-03,,,,,,антрацит,
2017-06-13,,,,,,антрацит,
2017-03-14,,,,,,антрацит,
2017-07-14,,,,,,антрацит,
2017-04-20,,,,,,антрацит,
2017-08-31,,,,,,антрацит,
2017-06-21,,,,,,антрацит,
2017-08-30,,,,,,антрацит,
2017-07-11,,,,,,антрацит,
2017-09-11,,,,,,антрацит,
2017-09-06,,,,,,антрацит,
2017-05-26,,,,,,антрацит,
2017-07-26,,,,,,антрацит,
2017-04-14,,,,,,антрацит,
2017-08-21,,,,,,антрацит,
2017-04-11,,,,,,антрацит,
2017-05-12,,,,,,антрацит,
2017-04-10,,,,,,антрацит,
2017-08-02,,,,,,антрацит,
2017-05-18,,,,,,антрацит,
2017-02-28,,,,,,антрацит,
2017-08-19,,,,,,антрацит,
2017-07-21,,,,,,антрацит,
2017-03-20,,,,,,антрацит,
2017-09-08,,,,,,антрацит,
2017-08-08,,,,,,антрацит,
2017-07-31,,,,,,антрацит,
2017-08-11,,,,,,антрацит,
2017-05-15,,,,,,антрацит,
2017-05-22,,,,,,антрацит,
2017-02-20,,,,,,антрацит,
2017-03-06,,,,,,антрацит,
2017-06-12,,,,,,антрацит,
2017-06-19,,,,,,антрацит,
2017-06-27,,,,,,антрацит,
2017-04-25,,,,,,антрацит,
2017-03-30,,,,,,антрацит,
2017-04-06,,,,,,антрацит,
2017-06-22,,,,,,антрацит,
2017-07-10,,,,,,антрацит,
2017-06-15,,,,,,антрацит,
2017-02-27,,,,,,антрацит,
2017-03-03,,,,,,антрацит,
2017-08-14,,,,,,антрацит,
2017-05-11,,,,,,антрацит,
2017-05-17,,,,,,антрацит,
2017-04-21,,,,,,антрацит,
2017-03-24,,,,,,антрацит,
2017-06-23,,,,,,антрацит,
2017-05-30,,,,,,антрацит,
2017-05-04,,,,,,антрацит,
2017-08-16,,,,,,антрацит,
2017-09-01,,,,,,антрацит,
2017-03-23,,,,,,антрацит,
2017-06-14,,,,,,антрацит,
2017-04-12,,,,,,антрацит,
2017-05-03,,,,,,антрацит,
2017-04-27,,,,,,антрацит,
2017-05-10,,,,,,антрацит,
2017-05-23,,,,,,антрацит,
2017-03-17,,,,,,антрацит,
2017-07-05,,,,,,антрацит,
2017-04-24,,,,,,антрацит,
2017-02-24,,,,,,антрацит,
2017-02-23,,,,,,антрацит,
2017-05-13,,,,,,антрацит,
2017-07-27,,,,,,антрацит,
2017-06-26,,,,,,антрацит,
2017-05-16,,,,,,антрацит,
2017-08-10,,,,,,антрацит,
2017-03-09,,,,,,антрацит,
2017-04-13,,,,,,антрацит,
2017-07-18,,,,,,антрацит,
2017-07-13,,,,,,антрацит,
2017-08-18,,,,,,антрацит,
2017-05-25,,,,,,антрацит,
2017-04-26,,,,,,антрацит,
2017-08-17,,,,,,антрацит,
2017-08-22,,,,,,антрацит,
2017-08-29,,,,,,антрацит,
2017-08-09,,,,,,антрацит,
2017-03-01,,,,,,антрацит,
2017-09-12,,,,,,антрацит,
2017-03-07,,,,,,антрацит,
2017-07-12,,,,,,антрацит,
2017-08-28,,,,,,антрацит,
2017-08-15,,,,,,антрацит,
2017-03-29,,,,,,антрацит,
2017-08-01,,,,,,антрацит,
2017-09-13,,,,,,антрацит,
2017-07-17,,,,,,антрацит,
2017-03-28,,,,,,антрацит,
2017-04-07,,,,,,антрацит,
2017-06-01,,,,,,антрацит,
2017-03-22,,,,,,антрацит,
2017-03-21,,,,,,антрацит,
2017-03-02,,,,,,антрацит,
2017-03-27,,,,,,антрацит,
2017-07-25,,,,,,антрацит,
2017-04-18,,,,,,антрацит,
2017-07-07,,,,,,антрацит,
2017-04-03,,,,,,антрацит,
2017-06-20,,,,,,антрацит,
2017-03-15,,,,,,антрацит,
2017-05-31,,,,,,антрацит,
2017-07-24,,,,,,антрацит,
2017-09-05,,,,,,антрацит,
2017-03-13,,,,,,антрацит,
2017-03-31,,,,,,антрацит,
2017-06-06,,,,,,антрацит,
2017-06-08,,,,,,антрацит,
2017-08-23,,,,,,антрацит,
2017-08-07,,,,,,антрацит,
2017-05-29,,,,,,антрацит,
2017-09-04,,,,,,антрацит,
2017-03-10,,,,,,антрацит,
2017-04-28,,,,,,антрацит,
2017-09-07,,,,,,антрацит,
