date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,23.57,100.0,282.0,32.445208357788225,73,антрацит,14
2017-07-28,39.507,100.0,282.0,100.14913992187313,39,антрацит,0
2017-04-05,35.824,100.0,282.0,52.63213446988944,68,антрацит,22
2017-06-07,26.91,100.0,282.0,33.483145900218645,80,антрацит,16
2017-07-19,39.442,100.0,282.0,100.11530404567435,39,антрацит,0
2017-08-04,39.507,100.0,282.0,101.11010346297016,39,антрацит,0
2017-04-04,36.661,100.0,282.0,54.30370840922757,68,антрацит,23
2017-05-19,36.017,100.0,282.0,66.2945937055592,54,антрацит,0
2017-04-19,41.592,100.0,282.0,29.230099319155723,142,антрацит,0
2017-06-16,19.231,100.0,282.0,28.81242695928178,67,антрацит,11
2017-06-02,34.922,100.0,282.0,36.07798975629468,97,антрацит,32
2017-03-16,62.573,100.0,282.0,58.95911741756499,106,антрацит,38
2017-05-05,41.592,100.0,282.0,12.307379971135711,338,антрацит,0
2017-07-20,39.442,100.0,282.0,100.11906358747422,39,антрацит,0
2017-02-22,71.54,100.0,282.0,132.48910729530633,54,антрацит,38
2017-05-24,36.017,100.0,282.0,82.31157780415441,44,антрацит,0
2017-08-03,39.507,100.0,282.0,100.7947950050043,39,антрацит,0
2017-06-13,19.306,100.0,282.0,30.3693332729274,64,антрацит,12
2017-03-14,61.786,100.0,282.0,58.998420390367016,105,антрацит,38
2017-07-14,39.442,100.0,282.0,100.09650633667503,39,антрацит,0
2017-04-20,41.592,100.0,282.0,27.5585253798176,151,антрацит,0
2017-08-31,39.507,100.0,282.0,109.62343182804833,36,антрацит,0
2017-06-21,21.172,100.0,282.0,78.88424976987241,27,антрацит,15
2017-08-30,39.507,100.0,282.0,109.30812337008247,36,антрацит,0
2017-07-11,38.957,100.0,282.0,100.08522771127544,39,антрацит,0
2017-09-11,39.507,100.0,282.0,109.90243743503561,36,антрацит,0
2017-09-06,39.507,100.0,282.0,109.9205888605249,36,антрацит,0
2017-05-26,36.017,100.0,282.0,88.7183714435925,41,антрацит,0
2017-07-26,39.507,100.0,282.0,100.14162083827341,39,антрацит,0
2017-04-14,41.592,100.0,282.0,37.58796901584634,111,антрацит,0
2017-08-21,39.507,100.0,282.0,106.47034724838974,37,антрацит,0
2017-04-11,41.384,100.0,282.0,42.602690833860706,97,антрацит,0
2017-05-12,39.052,100.0,282.0,43.87081596752589,89,антрацит,25
2017-04-10,41.384,100.0,282.0,44.27426477319883,93,антрацит,0
2017-08-02,39.507,100.0,282.0,100.47948654703845,39,антрацит,0
2017-05-18,36.017,100.0,282.0,63.091196885840155,57,антрацит,0
2017-02-28,60.523,100.0,282.0,130.34141032765135,46,антрацит,31
2017-08-19,39.507,100.0,282.0,105.83973033245803,37,антрацит,0
2017-07-21,39.507,100.0,282.0,100.12282312927408,39,антрацит,0
2017-03-20,55.662,100.0,282.0,58.880511471960936,95,антрацит,32
2017-09-08,39.507,100.0,282.0,109.91332829032918,36,антрацит,0
2017-08-08,39.507,100.0,282.0,102.3713372948336,39,антрацит,0
2017-07-31,39.507,100.0,282.0,100.16041854727273,39,антрацит,0
2017-08-11,39.507,100.0,282.0,103.31726266873117,38,антрацит,0
2017-05-15,36.017,100.0,282.0,53.481006426683024,67,антрацит,0
2017-05-22,36.017,100.0,282.0,75.90478416471632,47,антрацит,0
2017-02-20,75.19,100.0,282.0,133.20500628452467,56,антрацит,41
2017-03-06,56.137,100.0,282.0,59.155632281575116,95,антрацит,36
2017-06-12,18.891,100.0,282.0,30.888302044142605,61,антрацит,12
2017-06-19,20.843,100.0,282.0,27.255520645636157,76,антрацит,14
2017-06-27,19.103,100.0,282.0,91.57043714258117,21,антрацит,12
2017-04-25,41.592,100.0,282.0,19.200655683126982,217,антрацит,0
2017-03-30,39.921,100.0,282.0,59.35773320004396,67,антрацит,24
2017-04-06,37.155,100.0,282.0,50.96056053055132,73,антрацит,0
2017-06-22,21.503,100.0,282.0,80.99861433199054,27,антрацит,16
2017-07-10,38.957,100.0,282.0,100.08146816947557,39,антрацит,0
2017-06-15,21.016,100.0,282.0,29.331395730496986,72,антрацит,12
2017-02-27,62.457,100.0,282.0,130.6993598222605,48,антрацит,33
2017-03-03,56.655,100.0,282.0,59.21458674077815,96,антрацит,31
2017-08-14,39.507,100.0,282.0,104.26318804262874,38,антрацит,0
2017-05-11,40.637,100.0,282.0,40.667419147806854,100,антрацит,43
2017-05-17,36.017,100.0,282.0,59.88780006612111,60,антрацит,0
2017-04-21,41.592,100.0,282.0,25.88695144047948,161,антрацит,0
2017-03-24,49.144,100.0,282.0,59.47564211845003,83,антрацит,36
2017-06-23,20.381,100.0,282.0,83.11297889410866,25,антрацит,13
2017-05-30,36.017,100.0,282.0,101.53195872246866,35,антрацит,0
2017-05-04,41.592,100.0,282.0,11.523337990126347,361,антрацит,0
2017-08-16,39.507,100.0,282.0,104.89380495856045,38,антрацит,0
2017-09-01,39.507,100.0,282.0,109.93874028601418,36,антрацит,0
2017-03-23,50.502,100.0,282.0,59.49529360485105,85,антрацит,27
2017-06-14,21.049,100.0,282.0,29.850364501712193,71,антрацит,12
2017-04-12,41.521,100.0,282.0,40.93111689452258,101,антрацит,0
2017-05-03,41.592,100.0,282.0,10.73929600911698,387,антрацит,0
2017-04-27,41.592,100.0,282.0,15.85750780445074,262,антрацит,0
2017-05-10,41.591,100.0,282.0,37.46402232808781,111,антрацит,0
2017-05-23,36.017,100.0,282.0,79.10818098443536,46,антрацит,0
2017-03-17,60.916,100.0,282.0,58.93946593116397,103,антрацит,37
2017-07-05,29.173,100.0,282.0,100.06267046047626,29,антрацит,0
2017-04-24,41.592,100.0,282.0,20.872229622465106,199,антрацит,0
2017-02-24,67.928,100.0,282.0,131.773208306088,52,антрацит,40
2017-02-23,69.639,100.0,282.0,132.13115780069717,53,антрацит,37
2017-05-13,37.44,100.0,282.0,47.07421278724494,80,антрацит,23
2017-07-27,39.507,100.0,282.0,100.14538038007326,39,антрацит,0
2017-06-26,19.548,100.0,282.0,89.45607258046304,22,антрацит,12
2017-05-16,36.017,100.0,282.0,56.68440324640206,64,антрацит,0
2017-08-10,39.507,100.0,282.0,103.0019542107653,38,антрацит,0
2017-03-09,58.227,100.0,282.0,59.09667782237208,99,антрацит,32
2017-04-13,41.521,100.0,282.0,39.25954295518446,106,антрацит,0
2017-07-18,39.442,100.0,282.0,100.11154450387448,39,антрацит,0
2017-07-13,39.442,100.0,282.0,100.09274679487517,39,антрацит,0
2017-08-18,39.507,100.0,282.0,105.52442187449218,37,антрацит,0
2017-05-25,36.017,100.0,282.0,85.51497462387346,42,антрацит,0
2017-04-26,41.592,100.0,282.0,17.529081743788865,237,антрацит,0
2017-08-17,39.507,100.0,282.0,105.20911341652632,38,антрацит,0
