date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,104.012,,,0.0,,газове,83
2017-07-28,81.302,,,73.21061290322581,111,газове,141
2017-04-05,5.813,,,17.189000000000007,34,газове,3
2017-06-07,106.6,,,0.0,,газове,86
2017-07-19,89.888,,,70.95074193548388,127,газове,76
2017-08-04,77.408,,,74.97467741935485,103,газове,134
2017-04-04,7.685,,,16.918500000000005,45,газове,4
2017-05-19,81.582,,,30.141903225806445,271,газове,68
2017-04-19,33.92,,,20.976000000000006,162,газове,30
2017-06-16,95.359,,,0.0,,газове,98
2017-06-02,102.857,,,0.0,,газове,108
2017-03-16,9.09,,,20.296903225806453,45,газове,5
2017-05-05,43.954,,,25.421645161290318,173,газове,57
2017-09-14,56.659,,,87.3573,65,газове,94
2017-07-20,88.712,,,71.20183870967743,125,газове,75
2017-02-22,15.493,,,67.812,23,газове,12
2017-05-24,89.585,,,31.82770967741935,281,газове,78
2017-08-03,77.984,,,74.72145161290322,104,газове,135
2017-06-13,98.684,,,0.0,,газове,76
2017-09-22,48.034,,,90.6141,53,газове,36
2017-03-14,12.498,,,20.52051612903226,61,газове,9
2017-07-14,97.306,,,69.69525806451614,140,газове,81
2017-04-20,34.255,,,21.246500000000005,161,газове,31
2017-08-31,70.4,,,81.81177419354839,86,газове,54
2017-06-21,89.675,,,0.0,,газове,78
2017-08-30,71.695,,,81.55854838709678,88,газове,60
2017-07-11,73.506,,,68.9419677419355,107,газове,74
2017-09-11,58.66,,,86.136,68,газове,55
2017-09-06,64.22,,,84.1005,76,газове,99
2017-05-26,87.797,,,32.50203225806451,270,газове,78
2017-07-26,82.454,,,72.70841935483871,113,газове,143
2017-09-15,56.099,,,87.7644,64,газове,100
2017-04-14,28.809,,,19.623500000000007,147,газове,25
2017-08-21,80.795,,,79.27951612903226,102,газове,100
2017-04-11,21.21,,,18.812000000000005,113,газове,18
2017-05-12,61.956,,,27.781774193548383,223,газове,48
2017-04-10,16.898,,,18.541500000000006,91,газове,14
2017-08-02,78.56,,,74.46822580645161,105,газове,137
2017-05-18,76.584,,,29.804741935483865,257,газове,74
2017-02-28,19.546,,,64.044,31,газове,11
2017-08-19,82.635,,,78.77306451612904,105,газове,75
2017-07-21,87.512,,,71.45293548387097,122,газове,73
2017-09-21,49.378,,,90.207,55,газове,37
2017-03-20,4.853,,,19.84967741935484,24,газове,3
2017-09-08,62.073,,,84.9147,73,газове,56
2017-08-08,74.932,,,75.98758064516129,99,газове,98
2017-07-31,79.574,,,73.96390322580646,108,газове,138
2017-09-26,42.566,,,92.24249999999999,46,газове,30
2017-08-11,87.028,,,76.74725806451613,113,газове,82
2017-05-15,61.902,,,28.793258064516124,215,газове,50
2017-05-22,83.5,,,31.153387096774185,268,газове,77
2017-02-20,10.834,,,69.068,16,газове,6
2017-03-06,11.521,,,21.414967741935484,54,газове,7
2017-06-12,99.98,,,0.0,,газове,74
2017-06-19,91.759,,,0.0,,газове,76
2017-06-27,83.957,,,57.57353333333335,146,газове,140
2017-04-25,43.17,,,22.599000000000004,191,газове,39
2017-03-30,9.275,,,16.485516129032263,56,газове,5
2017-04-06,16.868,,,17.459500000000006,97,газове,11
2017-06-22,88.725,,,46.501700000000014,191,газове,93
2017-07-10,80.29,,,68.69087096774194,117,газове,70
2017-06-15,96.334,,,0.0,,газове,80
2017-02-27,15.244,,,64.672,24,газове,8
