date,reserve,min,max,planned,coal_type
2017-06-09,104.012,,,0.0,Г
2017-07-28,81.302,,,73.21061290322581,Г
2017-04-05,5.813,,,17.189000000000007,Г
2017-06-07,106.6,,,0.0,Г
2017-07-19,89.888,,,70.95074193548388,Г
2017-04-04,7.685,,,16.918500000000005,Г
2017-05-19,81.582,,,30.141903225806445,Г
2017-04-19,33.92,,,20.976000000000006,Г
2017-06-16,95.359,,,0.0,Г
2017-06-02,102.857,,,0.0,Г
2017-03-16,9.09,,,20.296903225806453,Г
2017-05-05,43.954,,,25.421645161290318,Г
2017-07-20,88.712,,,71.20183870967743,Г
2017-02-22,15.493,,,67.812,Г
2017-05-24,89.585,,,31.82770967741935,Г
2017-06-13,98.684,,,0.0,Г
2017-03-14,12.498,,,20.52051612903226,Г
2017-07-14,97.306,,,69.69525806451614,Г
2017-04-20,34.255,,,21.246500000000005,Г
2017-06-21,89.675,,,0.0,Г
2017-07-11,73.506,,,68.9419677419355,Г
2017-05-26,87.797,,,32.50203225806451,Г
2017-07-26,82.454,,,72.70841935483871,Г
2017-04-14,28.809,,,19.623500000000007,Г
2017-04-11,21.21,,,18.812000000000005,Г
2017-05-12,61.956,,,27.781774193548383,Г
2017-04-10,16.898,,,18.541500000000006,Г
2017-05-18,76.584,,,29.804741935483865,Г
2017-02-28,19.546,,,64.044,Г
2017-07-21,87.512,,,71.45293548387097,Г
2017-03-20,4.853,,,19.84967741935484,Г
2017-07-31,79.574,,,73.96390322580646,Г
2017-05-15,61.902,,,28.793258064516124,Г
2017-05-22,83.5,,,31.153387096774185,Г
2017-02-20,10.834,,,69.068,Г
2017-03-06,11.521,,,21.414967741935484,Г
2017-06-12,99.98,,,0.0,Г
2017-06-19,91.759,,,0.0,Г
2017-06-27,83.957,,,57.57353333333335,Г
2017-04-25,43.17,,,22.599000000000004,Г
2017-03-30,9.275,,,16.485516129032263,Г
2017-04-06,16.868,,,17.459500000000006,Г
2017-06-22,88.725,,,46.501700000000014,Г
2017-07-10,80.29,,,68.69087096774194,Г
2017-06-15,96.334,,,0.0,Г
2017-02-27,15.244,,,64.672,Г
2017-03-03,16.621,,,21.750387096774194,Г
2017-05-11,57.87,,,27.444612903225803,Г
2017-05-17,75.04,,,29.467580645161284,Г
2017-04-21,39.54,,,21.517000000000007,Г
2017-03-24,5.852,,,17.62106451612904,Г
2017-06-23,87.621,,,48.71606666666668,Г
2017-05-30,96.82,,,33.85067741935483,Г
2017-05-04,43.2,,,25.084483870967738,Г
2017-03-23,5.95,,,17.810322580645167,Г
2017-06-14,97.534,,,0.0,Г
2017-04-12,23.809,,,19.0825,Г
2017-05-03,44.4,,,24.747322580645157,Г
2017-04-27,45.681,,,23.14,Г
2017-05-10,48.88,,,27.10745161290322,Г
2017-05-23,90.735,,,31.490548387096766,Г
2017-03-17,7.852,,,20.18509677419355,Г
2017-07-05,78.5,,,67.4353870967742,Г
2017-04-24,39.13,,,22.328500000000005,Г
2017-02-24,20.596,,,66.556,Г
2017-02-23,17.282,,,67.184,Г
2017-05-13,64.397,,,28.118935483870963,Г
2017-07-27,81.878,,,72.95951612903227,Г
2017-06-26,84.557,,,55.35916666666668,Г
2017-05-16,60.654,,,29.130419354838704,Г
2017-03-09,17.479,,,21.079548387096775,Г
2017-04-13,25.048,,,19.353000000000005,Г
2017-07-18,91.064,,,70.69964516129033,Г
2017-07-13,97.306,,,69.44416129032258,Г
2017-05-25,88.922,,,32.164870967741926,Г
2017-04-26,44.722,,,22.869500000000006,Г
2017-03-01,20.221,,,63.416,Г
2017-03-07,19.657,,,21.30316129032258,Г
2017-07-12,73.506,,,69.19306451612904,Г
2017-03-29,8.359,,,16.674774193548394,Г
2017-07-17,92.24,,,70.44854838709678,Г
2017-03-28,8.41,,,16.864032258064523,Г
2017-04-07,17.617,,,17.73,Г
2017-06-01,103.807,,,34.52499999999999,Г
2017-03-22,6.879,,,19.626064516129034,Г
2017-03-21,8.335,,,19.737870967741937,Г
2017-03-02,18.421,,,63.416,Г
2017-03-27,2.305,,,17.05329032258065,Г
2017-07-25,83.03,,,72.45732258064517,Г
2017-04-18,25.742,,,20.705500000000008,Г
2017-07-07,80.29,,,67.9375806451613,Г
2017-04-03,8.095,,,21.582866666666668,Г
2017-06-20,90.827,,,0.0,Г
2017-03-15,10.968,,,20.408709677419356,Г
2017-05-31,99.593,,,34.18783870967741,Г
2017-07-24,84.132,,,72.20622580645161,Г
2017-03-13,11.541,,,20.632322580645162,Г
2017-03-31,9.643,,,16.296258064516135,Г
2017-06-06,98.57,,,0.0,Г
2017-06-08,105.26,,,0.0,Г
2017-05-29,85.092,,,33.513516129032254,Г
2017-03-10,16.351,,,20.967741935483872,Г
2017-04-28,46.98,,,23.410500000000006,Г
