date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,23.231,,,0.0,,антрацит,22
2017-07-28,50.188,,,59.51248387096773,84,антрацит,65
2017-04-05,12.986,,,8.527999999999993,152,антрацит,24
2017-06-07,24.687,,,0.0,,антрацит,21
2017-07-19,46.155,,,52.608322580645144,88,антрацит,75
2017-08-04,59.888,,,64.84909677419353,92,антрацит,62
2017-04-04,13.411,,,8.397499999999994,160,антрацит,16
2017-05-19,23.997,,,18.097451612903228,133,антрацит,23
2017-04-19,9.305,,,10.355,90,антрацит,9
2017-06-16,21.141,,,0.0,,антрацит,20
2017-06-02,24.514,,,0.0,,антрацит,19
2017-03-16,8.955,,,8.746838709677416,102,антрацит,12
2017-05-05,7.925,,,14.393322580645162,55,антрацит,8
2017-07-20,46.714,,,53.375451612903206,88,антрацит,86
2017-02-22,25.127,,,53.365500000000004,47,антрацит,23
2017-05-24,26.469,,,19.420354838709677,136,антрацит,20
2017-08-03,57.908,,,64.09306451612902,90,антрацит,54
2017-06-13,21.389,,,0.0,,антрацит,29
2017-03-14,7.221,,,9.816193548387094,74,антрацит,13
2017-07-14,37.82,,,48.77267741935482,78,антрацит,61
2017-04-20,8.681,,,10.485499999999993,83,антрацит,9
2017-08-31,77.637,,,85.26196774193546,91,антрацит,104
2017-06-21,16.528,,,0.0,,антрацит,24
2017-08-30,78.382,,,84.50593548387096,93,антрацит,76
2017-07-11,35.6,,,46.47129032258063,77,антрацит,101
2017-09-11,70.614,,,93.01299999999998,76,антрацит,71
2017-09-06,72.356,,,89.51549999999999,81,антрацит,80
2017-05-26,27.291,,,19.94951612903226,137,антрацит,31
2017-07-26,49.297,,,57.9782258064516,85,антрацит,87
2017-04-14,8.632,,,9.702499999999993,89,антрацит,7
2017-08-21,75.022,,,77.7016451612903,97,антрацит,71
2017-04-11,9.602,,,9.310999999999993,103,антрацит,10
2017-05-12,10.95,,,16.245387096774195,67,антрацит,9
2017-04-10,10.462,,,9.180499999999993,114,антрацит,12
2017-08-02,57.122,,,63.3370322580645,90,антрацит,85
2017-05-18,21.644,,,17.832870967741936,121,антрацит,29
2017-02-28,17.758,,,57.64992857142858,31,антрацит,12
2017-08-19,73.904,,,76.18958064516127,97,антрацит,69
2017-07-21,49.146,,,54.142580645161274,91,антрацит,96
2017-03-20,8.803,,,6.608129032258059,133,антрацит,9
