date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,46.924,,,59.99399891598916,78,газове,0
2017-07-28,94.491,,,100.03424961502725,94,газове,54
2017-04-05,23.707,,,15.035799999999997,158,газове,40
2017-06-07,45.014,,,58.27899918699187,77,газове,0
2017-07-19,99.376,,,91.22722004513477,109,газове,69
2017-08-04,98.095,,,101.98587490759235,96,газове,0
2017-04-04,23.271,,,15.614099999999997,149,газове,55
2017-05-19,19.617,,,5.806451612903226,338,газове,0
2017-04-19,28.134,,,6.939599999999999,405,газове,0
2017-06-16,49.624,,,65.99649796747968,75,газове,28
2017-06-02,40.277,,,53.99149986449864,75,газове,34
2017-03-16,17.403,,,,,газове,114
2017-05-05,28.134,,,1.2903225806451613,2180,газове,0
2017-09-14,92.279,,,83.6912087621469,110,газове,0
2017-07-20,97.658,,,92.20577888623393,106,газове,57
2017-02-22,11.519,,,,,газове,23
2017-05-24,27.575,,,7.419354838709677,372,газове,0
2017-08-03,95.866,,,102.64007826486954,93,газове,0
2017-06-13,51.607,,,63.42399837398374,81,газове,30
2017-09-22,85.367,,,83.70537975187966,102,газове,52
2017-03-14,17.807,,,,,газове,30
2017-07-14,99.8,,,86.33442583963894,116,газове,62
2017-04-20,28.134,,,6.361299999999998,442,газове,0
2017-08-31,89.186,,,84.32238426110834,106,газове,49
2017-06-21,48.172,,,66.75066395663956,72,газове,27
2017-08-30,90.942,,,84.97658761838552,107,газове,56
2017-07-11,99.5,,,83.39874931634145,119,газове,66
2017-09-11,91.968,,,83.68589464099712,110,газове,0
2017-09-06,91.592,,,83.67703777241414,109,газове,0
2017-05-26,31.292,,,8.064516129032258,388,газове,0
2017-07-26,93.51,,,98.07713193282892,95,газове,57
2017-09-15,91.041,,,83.6929801358635,109,газове,58
2017-04-14,28.006,,,9.831099999999998,285,газове,0
2017-08-21,101.415,,,90.8644178338802,112,газове,57
2017-04-11,28.006,,,11.565999999999997,242,газове,0
2017-05-12,9.407,,,3.5483870967741935,265,газове,0
2017-04-10,28.204,,,12.144299999999998,232,газове,0
2017-08-02,95.866,,,103.29428162214673,93,газове,0
2017-05-18,19.617,,,5.483870967741935,358,газове,0
2017-02-28,15.324,,,,,газове,36
2017-08-19,104.414,,,92.17282454843456,113,газове,75
2017-07-21,96.052,,,93.1843377273331,103,газове,48
2017-09-21,86.261,,,83.70360837816307,103,газове,44
2017-03-20,19.37,,,,,газове,31
2017-09-08,91.691,,,83.68058051984733,110,газове,0
2017-08-08,103.313,,,99.36906147848362,104,газове,0
2017-07-31,90.129,,,102.96992613832475,88,газове,53
2017-09-26,85.066,,,83.71246524674605,102,газове,0
2017-08-11,105.169,,,97.40645140665205,108,газове,0
2017-05-15,14.41,,,4.516129032258064,319,газове,0
2017-05-22,23.833,,,6.774193548387097,352,газове,0
2017-02-20,10.356,,,,,газове,17
2017-03-06,18.379,,,,,газове,42
2017-06-12,50.928,,,62.5664985094851,81,газове,0
2017-06-19,48.402,,,68.56899756097562,71,газове,36
2017-06-27,66.215,,,70.83566314363142,93,газове,0
2017-04-25,28.134,,,3.4697999999999993,811,газове,0
2017-03-30,18.895,,,17.348999999999997,109,газове,28
2017-04-06,25.437,,,14.4575,176,газове,0
2017-06-22,48.086,,,67.43149715447154,71,газове,32
2017-07-10,99.5,,,82.42019047524228,121,газове,66
2017-06-15,49.76,,,65.13899810298103,76,газове,45
2017-02-27,15.755,,,,,газове,36
2017-03-03,18.114,,,,,газове,33
2017-08-14,105.305,,,95.44384133482049,110,газове,0
2017-09-19,89.642,,,83.70006563072988,107,газове,60
2017-05-11,34.432,,,3.225806451612903,1067,газове,0
2017-05-17,17.742,,,5.161290322580645,344,газове,0
2017-04-21,28.134,,,5.782999999999998,486,газове,0
2017-03-24,17.006,,,17.348999999999997,98,газове,30
2017-06-23,49.509,,,68.11233035230352,73,газове,56
2017-10-02,82.429,,,84.0456323708324,98,газове,50
2017-05-30,38.101,,,9.35483870967742,407,газове,0
2017-05-04,28.134,,,0.967741935483871,2907,газове,0
2017-08-16,105.537,,,94.13543462026612,112,газове,0
2017-09-01,88.293,,,83.66818090383116,106,газове,92
2017-03-23,17.576,,,17.348999999999997,101,газове,33
2017-06-14,50.442,,,64.28149823848238,78,газове,33
2017-04-12,28.006,,,10.987699999999997,255,газове,0
2017-05-03,28.134,,,0.6451612903225806,4361,газове,0
2017-04-27,28.134,,,2.3131999999999984,1216,газове,0
2017-05-10,31.451,,,2.903225806451613,1083,газове,0
2017-05-23,25.432,,,7.096774193548387,358,газове,0
2017-03-17,17.714,,,,,газове,25
2017-07-05,94.89999999999999,,,77.52739626974646,122,газове,68
2017-04-24,28.134,,,4.048099999999998,695,газове,0
2017-02-24,13.096,,,,,газове,29
2017-02-23,12.654,,,,,газове,24
2017-09-20,88.243,,,83.70183700444647,105,газове,45
2017-05-13,10.746,,,3.870967741935484,278,газове,0
2017-07-27,93.511,,,99.05569077392809,94,газове,57
2017-06-26,59.498,,,70.15482994579945,85,газове,0
2017-05-16,16.559,,,4.838709677419355,342,газове,0
2017-08-10,104.746,,,98.06065476392924,107,газове,0
2017-03-09,17.659,,,,,газове,30
2017-04-13,28.006,,,10.409399999999998,269,газове,0
2017-07-18,97.414,,,90.2486612040356,108,газове,58
2017-09-29,86.699,,,83.71777936789584,104,газове,51
2017-09-27,86.018,,,83.71423662046264,103,газове,0
2017-07-13,100.471,,,85.35586699853978,118,газове,58
2017-08-18,105.807,,,92.82702790571176,114,газове,0
2017-05-25,31.162,,,7.741935483870968,403,газове,0
2017-04-26,28.134,,,2.891499999999999,973,газове,0
2017-08-17,105.74,,,93.48123126298894,113,газове,0
2017-08-22,100.18,,,90.21021447660301,111,газове,59
2017-08-29,92.102,,,85.6307909756627,108,газове,58
2017-08-09,104.263,,,98.71485812120642,106,газове,0
2017-03-01,17.349,,,,,газове,43
