date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,9.262,,90.0,20.818666666666655,44,антрацит,0
2017-07-28,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-04-05,9.262,,90.0,5.862000000000005,158,антрацит,0
2017-06-07,9.262,,90.0,19.18399999999999,48,антрацит,0
2017-07-19,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-08-04,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-04-04,9.262,,90.0,5.962000000000006,155,антрацит,0
2017-05-19,9.262,,90.0,6.2620000000000005,148,антрацит,0
2017-04-19,9.262,,90.0,4.462000000000006,208,антрацит,0
2017-06-16,9.262,,90.0,26.539999999999985,35,антрацит,0
2017-06-02,9.262,,90.0,15.097333333333324,61,антрацит,0
2017-03-16,9.262,,90.0,9.313774193548387,99,антрацит,0
2017-05-05,9.262,,90.0,6.2620000000000005,148,антрацит,0
2017-09-14,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-07-20,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-02-22,10.021,,90.0,16.009749999999997,63,антрацит,0
2017-05-24,9.262,,90.0,6.2620000000000005,148,антрацит,0
2017-08-03,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-06-13,9.262,,90.0,24.087999999999987,38,антрацит,0
2017-09-22,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-03-14,9.262,,90.0,9.306870967741936,100,антрацит,0
2017-07-14,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-04-20,9.262,,90.0,4.362000000000005,212,антрацит,0
2017-08-31,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-06-21,9.262,,90.0,30.626666666666654,30,антрацит,0
2017-08-30,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-07-11,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-09-11,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-09-06,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-05-26,9.262,,90.0,6.2620000000000005,148,антрацит,0
2017-07-26,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-09-15,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-04-14,9.262,,90.0,4.962000000000006,187,антрацит,0
2017-08-21,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-04-11,9.262,,90.0,5.262000000000006,176,антрацит,0
2017-05-12,9.262,,90.0,6.2620000000000005,148,антрацит,0
2017-04-10,9.262,,90.0,5.362000000000005,173,антрацит,0
2017-08-02,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-05-18,9.262,,90.0,6.2620000000000005,148,антрацит,0
2017-02-28,9.262,,90.0,16.015964285714283,58,антрацит,0
2017-08-19,9.262,,90.0,9.262000000000006,100,антрацит,0
2017-07-21,9.262,,90.0,9.262000000000006,100,антрацит,0
