date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,7.906,,90.0,0.0,,газове,0
2017-07-28,7.906,,90.0,7.905999999999995,100,газове,0
2017-04-05,14.76,,90.0,20.75753333333333,71,газове,26
2017-06-07,7.906,,90.0,0.0,,газове,0
2017-07-19,7.906,,90.0,7.905999999999995,100,газове,0
2017-08-04,7.906,,90.0,8.486645161290317,93,газове,0
2017-04-04,15.337,,90.0,20.762899999999995,74,газове,26
2017-05-19,7.906,,90.0,16.917,47,газове,0
2017-04-19,13.697,,90.0,20.682399999999994,66,газове,21
2017-06-16,7.906,,90.0,0.0,,газове,0
2017-06-02,7.906,,90.0,0.0,,газове,0
2017-03-16,22.137,,90.0,16.656612903225806,133,газове,39
2017-05-05,7.906,,90.0,16.917,47,газове,0
2017-09-14,12.315,,90.0,13.928099999999997,88,газове,11
2017-07-20,7.906,,90.0,7.905999999999995,100,газове,0
2017-02-22,14.449,,90.0,19.41225,74,газове,21
2017-05-24,7.906,,90.0,16.917,47,газове,0
2017-08-03,7.906,,90.0,8.293096774193543,95,газове,0
2017-06-13,7.906,,90.0,0.0,,газове,0
2017-09-22,14.986,,90.0,13.941699999999999,107,газове,21
2017-03-14,21.41,,90.0,16.483064516129033,130,газове,32
2017-07-14,7.906,,90.0,7.905999999999995,100,газове,0
2017-04-20,13.075,,90.0,20.67703333333333,63,газове,21
2017-08-31,12.838,,90.0,13.712451612903221,94,газове,0
2017-06-21,7.906,,90.0,0.0,,газове,0
2017-08-30,12.838,,90.0,13.518903225806447,95,газове,0
2017-07-11,7.906,,90.0,7.905999999999995,100,газове,0
2017-09-11,10.212,,90.0,13.922999999999996,73,газове,10
2017-09-06,9.106,,90.0,13.914499999999997,65,газове,12
2017-05-26,7.906,,90.0,16.917,47,газове,0
2017-07-26,7.906,,90.0,7.905999999999995,100,газове,0
2017-09-15,13.184,,90.0,13.929799999999998,95,газове,10
2017-04-14,15.648,,90.0,20.70923333333333,76,газове,26
2017-08-21,14.934,,90.0,11.77696774193548,127,газове,0
2017-04-11,14.169,,90.0,20.725333333333328,68,газове,23
2017-05-12,7.906,,90.0,16.917,47,газове,0
2017-04-10,13.62,,90.0,20.730699999999995,66,газове,22
2017-08-02,7.906,,90.0,8.09954838709677,98,газове,0
2017-05-18,7.906,,90.0,16.917,47,газове,0
2017-02-28,18.729,,90.0,19.439464285714287,96,газове,29
2017-08-19,14.591,,90.0,11.389870967741931,128,газове,0
2017-07-21,7.906,,90.0,7.905999999999995,100,газове,0
2017-09-21,14.376,,90.0,13.94,103,газове,23
2017-03-20,21.395,,90.0,17.003709677419355,126,газове,28
2017-09-08,10.326,,90.0,13.917899999999996,74,газове,10
2017-08-08,8.6,,90.0,9.260838709677415,93,газове,0
2017-07-31,7.906,,90.0,7.905999999999995,100,газове,0
2017-09-26,19.61,,90.0,13.9485,141,газове,163
2017-08-11,11.216,,90.0,9.841483870967737,114,газове,0
2017-05-15,7.906,,90.0,16.917,47,газове,0
2017-05-22,7.906,,90.0,16.917,47,газове,0
2017-02-20,13.416,,90.0,19.403178571428572,69,газове,76
2017-03-06,22.316,,90.0,15.788870967741936,141,газове,32
2017-06-12,7.906,,90.0,0.0,,газове,0
2017-06-19,7.906,,90.0,0.0,,газове,0
2017-06-27,7.906,,90.0,6.8518666666666626,115,газове,0
2017-04-25,9.917,,90.0,20.650199999999995,48,газове,15
2017-03-30,18.526,,90.0,20.429064516129028,91,газове,29
2017-04-06,14.114,,90.0,20.752166666666664,68,газове,22
2017-06-22,7.906,,90.0,5.534199999999997,143,газове,0
2017-07-10,7.906,,90.0,7.905999999999995,100,газове,0
2017-06-15,7.906,,90.0,0.0,,газове,0
2017-02-27,17.948,,90.0,19.434928571428575,92,газове,27
2017-03-03,21.021,,90.0,15.528548387096775,135,газове,31
2017-08-14,11.835,,90.0,10.42212903225806,114,газове,0
2017-09-19,14.389,,90.0,13.936599999999999,103,газове,21
2017-05-11,7.906,,90.0,16.917,47,газове,0
2017-05-17,7.906,,90.0,16.917,47,газове,0
2017-04-21,12.439,,90.0,20.671666666666663,60,газове,20
2017-03-24,22.231,,90.0,19.379258064516126,115,газове,34
2017-06-23,7.906,,90.0,5.79773333333333,136,газове,0
2017-10-02,21.022,,90.0,13.957903225806453,151,газове,17
2017-05-30,7.906,,90.0,16.917,47,газове,0
2017-05-04,7.906,,90.0,16.917,47,газове,0
2017-08-16,13.558,,90.0,10.809225806451607,125,газове,0
2017-09-01,12.379,,90.0,13.905999999999995,89,газове,27
2017-03-23,22.887,,90.0,19.204290322580643,119,газове,37
2017-06-14,7.906,,90.0,0.0,,газове,0
2017-04-12,14.694,,90.0,20.71996666666666,71,газове,25
2017-05-03,7.906,,90.0,16.917,47,газове,0
2017-04-27,8.769,,90.0,20.63946666666666,42,газове,17
2017-05-10,7.906,,90.0,16.917,47,газове,0
2017-05-23,7.906,,90.0,16.917,47,газове,0
2017-03-17,22.153,,90.0,16.743387096774192,132,газове,33
2017-07-05,7.906,,90.0,7.905999999999995,100,газове,0
2017-04-24,10.583,,90.0,20.65556666666666,51,газове,17
2017-02-24,16.456,,90.0,19.42132142857143,85,газове,0
2017-02-23,15.214,,90.0,19.416785714285716,78,газове,22
2017-09-20,13.605,,90.0,13.938299999999998,98,газове,17
2017-05-13,7.906,,90.0,16.917,47,газове,0
2017-07-27,7.906,,90.0,7.905999999999995,100,газове,0
2017-06-26,7.906,,90.0,6.588333333333329,120,газове,0
2017-05-16,7.906,,90.0,16.917,47,газове,0
2017-08-10,10.39,,90.0,9.647935483870963,108,газове,0
2017-03-09,23.478,,90.0,16.049193548387098,146,газове,37
2017-04-13,14.522,,90.0,20.714599999999997,70,газове,22
2017-07-18,7.906,,90.0,7.905999999999995,100,газове,0
2017-09-29,20.076,,90.0,13.9536,144,газове,14
2017-09-27,21.308,,90.0,13.9502,153,газове,32
2017-07-13,7.906,,90.0,7.905999999999995,100,газове,0
2017-08-18,13.558,,90.0,11.196322580645155,121,газове,0
2017-05-25,7.906,,90.0,16.917,47,газове,0
2017-04-26,9.274,,90.0,20.644833333333327,45,газове,14
2017-08-17,13.558,,90.0,11.002774193548383,123,газове,0
2017-08-22,14.526,,90.0,11.970516129032253,121,газове,36
2017-08-29,12.838,,90.0,13.325354838709671,96,газове,0
2017-08-09,9.428,,90.0,9.45438709677419,100,газове,0
2017-03-01,21.566,,90.0,19.444000000000003,111,газове,32
2017-09-12,10.45,,90.0,13.924699999999998,75,газове,8
2017-03-07,22.454,,90.0,15.875645161290322,141,газове,33
2017-07-12,7.906,,90.0,7.905999999999995,100,газове,0
2017-08-28,12.838,,90.0,13.1318064516129,98,газове,0
2017-08-15,13.006,,90.0,10.615677419354833,123,газове,0
2017-03-29,19.157,,90.0,20.254096774193545,95,газове,31
2017-08-01,7.906,,90.0,7.905999999999995,100,газове,0
2017-09-13,10.45,,90.0,13.926399999999997,75,газове,8
2017-07-17,7.906,,90.0,7.905999999999995,100,газове,0
2017-03-28,19.766,,90.0,20.07912903225806,98,газове,32
2017-04-07,13.464,,90.0,20.746799999999997,65,газове,21
2017-06-01,7.906,,90.0,16.917,47,газове,0
2017-03-22,22.683,,90.0,17.177258064516128,132,газове,33
2017-03-21,22.191,,90.0,17.09048387096774,130,газове,34
2017-03-02,20.867,,90.0,19.444000000000003,107,газове,30
2017-03-27,20.383,,90.0,19.904161290322577,102,газове,32
2017-07-25,7.906,,90.0,7.905999999999995,100,газове,0
2017-04-18,14.338,,90.0,20.68776666666666,69,газове,24
2017-07-07,7.906,,90.0,7.906,100,газове,0
2017-04-03,15.935,,90.0,15.7166,101,газове,25
2017-06-20,7.906,,90.0,0.0,,газове,0
2017-03-15,21.314,,90.0,16.56983870967742,129,газове,33
2017-05-31,7.906,,90.0,16.917,47,газове,0
2017-09-25,19.351,,90.0,13.9468,139,газове,255
2017-07-24,7.906,,90.0,7.905999999999995,100,газове,0
2017-09-05,8.038,,90.0,13.912799999999995,58,газове,7
2017-03-13,22.086,,90.0,16.396290322580644,135,газове,38
2017-03-31,17.863,,90.0,20.604032258064514,87,газове,27
2017-06-06,7.906,,90.0,0.0,,газове,0
2017-06-08,7.906,,90.0,0.0,,газове,0
2017-08-23,13.46,,90.0,12.164064516129027,111,газове,13
2017-09-18,13.072,,90.0,13.934899999999999,94,газове,19
2017-08-07,7.906,,90.0,9.06729032258064,87,газове,0
2017-05-29,7.906,,90.0,16.917,47,газове,0
2017-09-04,8.535,,90.0,13.911099999999996,61,газове,6
2017-03-10,24.078,,90.0,16.135967741935485,149,газове,38
2017-04-28,8.141,,90.0,20.634099999999997,39,газове,13
2017-09-28,21.516,,90.0,13.9519,154,газове,18
2017-09-07,9.796,,90.0,13.916199999999996,70,газове,17
