date,reserve,min,max,planned,plan_percent,coal_type,days
2017-06-09,143.898,40.0,220.0,133.45759724488363,108,газове,28
2017-07-28,120.886,40.0,220.0,161.6929475759123,75,газове,26
2017-04-05,61.425,40.0,220.0,38.261327354907415,161,газове,16
2017-06-07,144.697,40.0,220.0,132.28065322655777,109,газове,34
2017-07-19,147.135,40.0,220.0,156.56977442861466,94,газове,35
2017-08-04,110.362,40.0,220.0,163.11931930770314,68,газове,24
2017-04-04,64.018,40.0,220.0,37.944174823823566,169,газове,18
2017-05-19,103.228,40.0,220.0,79.81460378727628,129,газове,29
2017-04-19,73.571,40.0,220.0,42.70146279008132,172,газове,23
2017-06-16,154.694,40.0,220.0,137.57690130902415,112,газове,30
2017-06-02,133.099,40.0,220.0,129.33829318074314,103,газове,30
2017-03-16,59.248,40.0,220.0,36.56205457317988,162,газове,13
2017-05-05,98.518,40.0,220.0,42.99405774445224,229,газове,33
2017-09-14,83.129,40.0,220.0,156.30443084999473,53,газове,22
2017-07-20,144.771,40.0,220.0,157.13901588942554,92,газове,39
2017-02-22,49.379,40.0,220.0,52.82501338912442,93,газове,21
2017-05-24,117.397,40.0,220.0,75.42305951398218,156,газове,36
2017-08-03,112.507,40.0,220.0,163.40285067818732,69,газове,27
2017-06-13,149.142,40.0,220.0,135.81148528153534,110,газове,35
2017-09-22,67.721,40.0,220.0,156.99611695205564,43,газове,19
2017-03-14,57.882,40.0,220.0,36.367549715931084,159,газове,13
2017-07-14,163.49499999999995,40.0,220.0,153.72356712456045,106,газове,32
2017-04-20,74.029,40.0,220.0,43.01861532116517,172,газове,21
2017-08-31,76.787,40.0,220.0,155.46397230462992,49,газове,19
2017-06-21,161.926,40.0,220.0,140.5192613548388,115,газове,36
2017-08-30,75.714,40.0,220.0,155.74750367511413,49,газове,18
2017-07-11,170.51399999999998,40.0,220.0,152.0158427421279,112,газове,39
2017-09-11,83.14,40.0,220.0,156.04504856172187,53,газове,28
2017-09-06,83.628,40.0,220.0,155.61274474793382,54,газове,25
2017-05-26,121.635,40.0,220.0,73.66644180466454,165,газове,36
2017-07-26,127.565,40.0,220.0,160.55446465429063,79,газове,32
2017-09-15,79.531,40.0,220.0,156.39089161275234,51,газове,22
2017-04-14,64.134,40.0,220.0,41.11570013466207,156,газове,21
2017-08-21,64.74,40.0,220.0,158.29928600947187,41,газове,20
2017-04-11,63.889,40.0,220.0,40.164242541410516,159,газове,18
2017-05-12,98.258,40.0,220.0,85.96276576988804,114,газове,26
2017-04-10,63.838,40.0,220.0,39.84709001032667,160,газове,16
2017-08-02,112.928,40.0,220.0,163.68638204867153,69,газове,25
2017-05-18,100.997,40.0,220.0,80.69291264193511,125,газове,27
2017-02-28,50.301,40.0,220.0,50.87146410947554,99,газове,12
2017-08-19,63.865,40.0,220.0,158.86634875044024,40,газове,13
2017-07-21,142.076,40.0,220.0,157.70825735023638,90,газове,29
2017-09-21,68.917,40.0,220.0,156.90965618929803,44,газове,17
2017-03-20,65.127,40.0,220.0,36.95106428767747,176,газове,17
2017-09-08,85.841,40.0,220.0,155.78566627344904,55,газове,21
2017-08-08,95.682,40.0,220.0,161.98519382576637,59,газове,17
2017-07-31,117.361,40.0,220.0,163.40067195834487,72,газове,28
2017-09-26,57.315,40.0,220.0,157.3419600030861,36,газове,18
2017-08-11,84.048,40.0,220.0,161.1345997143138,52,газове,24
2017-05-15,100.79,40.0,220.0,83.32783920591157,121,газове,27
2017-05-22,111.912,40.0,220.0,77.17967722329982,145,газове,45
2017-02-20,49.402,40.0,220.0,53.47619648234072,92,газове,14
2017-03-06,56.705,40.0,220.0,35.589530286935904,159,газове,17
2017-06-12,147.516,40.0,220.0,135.2230132723724,109,газове,44
2017-06-19,162.117,40.0,220.0,139.34231733651293,116,газове,50
2017-06-27,169.436,40.0,220.0,144.05009340981636,118,газове,37
2017-04-25,77.818,40.0,220.0,44.60437797658442,174,газове,21
2017-03-30,62.033,40.0,220.0,36.79821237332322,169,газове,18
2017-04-06,59.497,40.0,220.0,38.578479885991264,154,газове,15
2017-06-22,161.608,40.0,220.0,141.10773336400172,115,газове,40
2017-07-10,171.12599999999998,40.0,220.0,151.44660128131704,113,газове,80
2017-06-15,153.083,40.0,220.0,136.9884292998612,112,газове,35
2017-02-27,49.134,40.0,220.0,51.197055656083684,96,газове,12
2017-03-03,51.739,40.0,220.0,35.297773001062716,147,газове,13
2017-08-14,71.83,40.0,220.0,160.2840056028612,45,газове,13
2017-09-19,74.297,40.0,220.0,156.73673466378278,47,газове,24
2017-05-11,99.895,40.0,220.0,86.84107462454685,115,газове,26
2017-05-17,103.043,40.0,220.0,81.57122149659394,126,газове,29
2017-04-21,73.908,40.0,220.0,43.33576785224902,171,газове,21
2017-03-24,61.766,40.0,220.0,36.21469780157684,171,газове,12
2017-06-23,163.732,40.0,220.0,141.69620537316464,116,газове,40
2017-10-02,49.094,40.0,220.0,158.23045775457535,31,газове,14
2017-05-30,125.933,40.0,220.0,70.15320638602925,180,газове,30
2017-05-04,95.03,40.0,220.0,43.87236659911106,217,газове,39
2017-08-16,67.776,40.0,220.0,159.71694286189282,42,газове,13
2017-09-01,78.366,40.0,220.0,155.18044093414574,50,газове,20
2017-03-23,64.049,40.0,220.0,36.11744537295244,177,газове,14
2017-06-14,151.585,40.0,220.0,136.39995729069827,111,газове,46
2017-04-12,62.693,40.0,220.0,40.481395072494365,155,газове,17
2017-05-03,91.48,40.0,220.0,44.75067545376988,204,газове,38
2017-04-27,81.459,40.0,220.0,45.23868303875212,180,газове,24
2017-05-10,98.98,40.0,220.0,87.71938347920567,113,газове,26
2017-05-23,115.241,40.0,220.0,76.30136836864101,151,газове,28
2017-03-17,59.334,40.0,220.0,36.65930700180428,162,газове,11
2017-07-05,176.66699999999997,40.0,220.0,148.6003939772628,119,газове,43
2017-04-24,77.884,40.0,220.0,44.287225445500574,176,газове,31
