station_id,station_title_original,station_title_short,latitude,longitude
a,Бурштинська ТЕС,Бурштинська ТЕС,49.207883,24.666714
b,Вуглегірська ТЕС,Вуглегірська ТЕС,48.463149,38.202597
z,Добротвірська ТЕС,Добротвірська ТЕС,50.219662,24.373773
g,ДПЗД «Укрінтеренерго» ВФ «Калуська ТЕЦ»,Калуська ТЕЦ,49.071129,24.319353
e,Запорізька ТЕС,Запорізька ТЕС,47.5086,34.6256
v,Зміївська ТЕС,Зміївська ТЕС,49.5865,36.52525
t,КЕП «Чернігівська ТЕЦ» ТОВ ФІРМА «ТЕХНОВА»,Чернігівська ТЕЦ,51.455278,31.262222
j,Криворізька ТЕС,Криворізька ТЕС,47.566448,33.64328
k,Курахівська ТЕС,Курахівська ТЕС,47.99459,37.237741
l,Ладижинська ТЕС,Ладижинська ТЕС,48.706825,29.220188
m,Луганська ТЕС,Луганська ТЕС,48.748741,39.260899
n,Придніпровська ТЕС,Придніпровська ТЕС,48.403499,35.118088
o,"Слов""янська ТЕС","Слов""янська ТЕС",48.871596,37.764766
p,Старобешівська ТЕС,Старобешівська ТЕС,47.799096,38.004681
c,"ТОВ ""ЄВРО-РЕКОНСТРУКЦІЯ"" (Дарницька ТЕЦ)",Дарницька ТЕЦ,50.446638,30.639666
i,"ТОВ ""Краматорськтеплоенерго""",Краматорська ТЕЦ,48.747775,37.573545
q,ТОВ «ДВ «Нафтогазовидобувна компанія» (ЄСХАР),ТЕЦ-2 (Есхар),49.797068,36.590277
r,Трипільська ТЕС,Трипільська ТЕС,50.134847,30.745404
x,"ВП Миронівська ТЕС ПАТ ""ДТЕК Донецькобленерго"", у т.ч.:",Миронівська ТЕС,48.480556,38.289722
s,"ПАТ ""Черкаське хімволокно"" ВП ""Черкаська ТЕЦ""",Черкаська ТЕЦ,49.386221,32.060906
